symbol,maxClinicalTrialPhase,chembl,globalScore,label_definition
EGFR,1.0,0.6415169547180812,0.8292698311059319,Open Targets LUAD association with maxClinicalTrialPhase > 0
BRAF,1.0,,0.8019671478753251,Open Targets LUAD association with maxClinicalTrialPhase > 0
KRAS,1.0,,0.8003886728265591,Open Targets LUAD association with maxClinicalTrialPhase > 0
ALK,1.0,0.469457671488974,0.769868694635861,Open Targets LUAD association with maxClinicalTrialPhase > 0
ERBB2,1.0,0.1519826994029052,0.7567662076802342,Open Targets LUAD association with maxClinicalTrialPhase > 0
ROS1,1.0,,0.754504598894159,Open Targets LUAD association with maxClinicalTrialPhase > 0
MET,1.0,0.4770568064591193,0.7151953563766649,Open Targets LUAD association with maxClinicalTrialPhase > 0
RET,1.0,,0.6862722871306738,Open Targets LUAD association with maxClinicalTrialPhase > 0
KEAP1,1.0,,0.6353488343837773,Open Targets LUAD association with maxClinicalTrialPhase > 0
EML4,1.0,0.469457671488974,0.6176371143739875,Open Targets LUAD association with maxClinicalTrialPhase > 0
ERBB4,1.0,0.1519826994029052,0.5828932272872733,Open Targets LUAD association with maxClinicalTrialPhase > 0
PIK3CA,1.0,,0.5688147613265605,Open Targets LUAD association with maxClinicalTrialPhase > 0
NTRK1,1.0,,0.551348162477766,Open Targets LUAD association with maxClinicalTrialPhase > 0
KIF5B,1.0,,0.5344506612823122,Open Targets LUAD association with maxClinicalTrialPhase > 0
TERT,1.0,,0.5204061388951156,Open Targets LUAD association with maxClinicalTrialPhase > 0
CD74,1.0,,0.4903318817735577,Open Targets LUAD association with maxClinicalTrialPhase > 0
SDC4,1.0,,0.4866751840735412,Open Targets LUAD association with maxClinicalTrialPhase > 0
CCDC6,1.0,,0.4626404601047864,Open Targets LUAD association with maxClinicalTrialPhase > 0
FGFR2,1.0,0.0759913497014526,0.4570347073798985,Open Targets LUAD association with maxClinicalTrialPhase > 0
FGFR3,1.0,0.0759913497014526,0.4518303101472256,Open Targets LUAD association with maxClinicalTrialPhase > 0
KDR,1.0,0.1818341176626687,0.4483623859411038,Open Targets LUAD association with maxClinicalTrialPhase > 0
ARAF,1.0,,0.4352171420788734,Open Targets LUAD association with maxClinicalTrialPhase > 0
TUBB,1.0,0.6525092942184839,0.4117047062897978,Open Targets LUAD association with maxClinicalTrialPhase > 0
TUBB6,1.0,0.6525092942184839,0.4013455924809566,Open Targets LUAD association with maxClinicalTrialPhase > 0
IGF1R,1.0,0.1519826994029052,0.4005082433039439,Open Targets LUAD association with maxClinicalTrialPhase > 0
TUBB3,1.0,0.6525092942184839,0.3997421054655539,Open Targets LUAD association with maxClinicalTrialPhase > 0
TUBB4A,1.0,0.6525092942184839,0.3978354327291285,Open Targets LUAD association with maxClinicalTrialPhase > 0
TUBB4B,1.0,0.6525092942184839,0.3976044453199506,Open Targets LUAD association with maxClinicalTrialPhase > 0
TUBB1,1.0,0.6525092942184839,0.3974196553926082,Open Targets LUAD association with maxClinicalTrialPhase > 0
TUBB2B,1.0,0.6525092942184839,0.3973202590955392,Open Targets LUAD association with maxClinicalTrialPhase > 0
TUBB2A,1.0,0.6525092942184839,0.3966804956832389,Open Targets LUAD association with maxClinicalTrialPhase > 0
TUBB8,1.0,0.6525092942184839,0.3966804956832389,Open Targets LUAD association with maxClinicalTrialPhase > 0
NTRK2,1.0,,0.3875868269876682,Open Targets LUAD association with maxClinicalTrialPhase > 0
MAP2K1,1.0,0.0607930797611621,0.3868745335649459,Open Targets LUAD association with maxClinicalTrialPhase > 0
DDR2,1.0,,0.3855216449362449,Open Targets LUAD association with maxClinicalTrialPhase > 0
FGFR1,1.0,0.0759913497014526,0.3800217467825879,Open Targets LUAD association with maxClinicalTrialPhase > 0
FLT3,1.0,,0.3771625963024043,Open Targets LUAD association with maxClinicalTrialPhase > 0
NTRK3,1.0,,0.3754433152990378,Open Targets LUAD association with maxClinicalTrialPhase > 0
TYMS,1.0,0.5744064863863053,0.3748820829267258,Open Targets LUAD association with maxClinicalTrialPhase > 0
PDCD1,1.0,0.5722557162347304,0.3736505512934944,Open Targets LUAD association with maxClinicalTrialPhase > 0
VEGFA,1.0,0.5698140735500097,0.3714494111107757,Open Targets LUAD association with maxClinicalTrialPhase > 0
PDGFRB,1.0,0.1435392161027438,0.3695340656935992,Open Targets LUAD association with maxClinicalTrialPhase > 0
NPM1,1.0,0.469457671488974,0.3655458488064116,Open Targets LUAD association with maxClinicalTrialPhase > 0
MTOR,1.0,,0.3589423233830623,Open Targets LUAD association with maxClinicalTrialPhase > 0
MAP2K2,1.0,0.0607930797611621,0.3570390823340226,Open Targets LUAD association with maxClinicalTrialPhase > 0
GART,1.0,0.5744064863863053,0.3567549306661405,Open Targets LUAD association with maxClinicalTrialPhase > 0
DHFR,1.0,0.5744064863863053,0.354343582542893,Open Targets LUAD association with maxClinicalTrialPhase > 0
POLE,1.0,0.1654922726831635,0.3533144271252527,Open Targets LUAD association with maxClinicalTrialPhase > 0
EZH2,1.0,,0.3529681833293918,Open Targets LUAD association with maxClinicalTrialPhase > 0
AKT2,1.0,0.1215861595223242,0.3515622530986454,Open Targets LUAD association with maxClinicalTrialPhase > 0
KMT2A,1.0,,0.3481181440583338,Open Targets LUAD association with maxClinicalTrialPhase > 0
DNMT3A,1.0,,0.3438695295097791,Open Targets LUAD association with maxClinicalTrialPhase > 0
AR,1.0,,0.3436786752813183,Open Targets LUAD association with maxClinicalTrialPhase > 0
JAK2,1.0,,0.3375019928842583,Open Targets LUAD association with maxClinicalTrialPhase > 0
PDGFRA,1.0,0.0759913497014526,0.3371065550127561,Open Targets LUAD association with maxClinicalTrialPhase > 0
SMO,1.0,,0.3310440367085938,Open Targets LUAD association with maxClinicalTrialPhase > 0
MALT1,1.0,,0.3274484185476056,Open Targets LUAD association with maxClinicalTrialPhase > 0
JAK3,1.0,,0.3261490887057121,Open Targets LUAD association with maxClinicalTrialPhase > 0
ACVR1,1.0,,0.3254612595317155,Open Targets LUAD association with maxClinicalTrialPhase > 0
CACNA1D,1.0,,0.3250464323319738,Open Targets LUAD association with maxClinicalTrialPhase > 0
KCNJ5,1.0,,0.3233823728491141,Open Targets LUAD association with maxClinicalTrialPhase > 0
AKT1,1.0,0.1215861595223242,0.3229100782806999,Open Targets LUAD association with maxClinicalTrialPhase > 0
FLT4,1.0,0.162537053528107,0.3198987280080881,Open Targets LUAD association with maxClinicalTrialPhase > 0
CD274,1.0,0.1654922726831635,0.3180519253384298,Open Targets LUAD association with maxClinicalTrialPhase > 0
CHRNA3,1.0,,0.3163164035002424,Open Targets LUAD association with maxClinicalTrialPhase > 0
POLD1,1.0,0.1654922726831635,0.3102324720399029,Open Targets LUAD association with maxClinicalTrialPhase > 0
RPL5,1.0,,0.3087609178951918,Open Targets LUAD association with maxClinicalTrialPhase > 0
ERBB3,1.0,0.1519826994029052,0.3063476445701059,Open Targets LUAD association with maxClinicalTrialPhase > 0
KIT,1.0,0.1215861595223242,0.3031125015881544,Open Targets LUAD association with maxClinicalTrialPhase > 0
CHRNA4,1.0,,0.3028321831075618,Open Targets LUAD association with maxClinicalTrialPhase > 0
FGFR4,1.0,0.0759913497014526,0.3026482527861522,Open Targets LUAD association with maxClinicalTrialPhase > 0
BTK,1.0,,0.3026076134760105,Open Targets LUAD association with maxClinicalTrialPhase > 0
SRC,1.0,,0.3025321682013127,Open Targets LUAD association with maxClinicalTrialPhase > 0
TOP2A,1.0,0.4475046149085543,0.3021336405963102,Open Targets LUAD association with maxClinicalTrialPhase > 0
NFE2L2,1.0,,0.3016375003402114,Open Targets LUAD association with maxClinicalTrialPhase > 0
MEN1,1.0,,0.3014832809221197,Open Targets LUAD association with maxClinicalTrialPhase > 0
CXCR4,1.0,,0.3008080687110526,Open Targets LUAD association with maxClinicalTrialPhase > 0
ABL1,1.0,0.1215861595223242,0.3001684086967959,Open Targets LUAD association with maxClinicalTrialPhase > 0
JAK1,1.0,,0.2992059486792029,Open Targets LUAD association with maxClinicalTrialPhase > 0
EPHA7,1.0,,0.2965108496871604,Open Targets LUAD association with maxClinicalTrialPhase > 0
CCND1,1.0,,0.2963012160668182,Open Targets LUAD association with maxClinicalTrialPhase > 0
CSF3R,1.0,0.1215861595223242,0.2962955939843419,Open Targets LUAD association with maxClinicalTrialPhase > 0
CDK4,1.0,,0.2945645103168395,Open Targets LUAD association with maxClinicalTrialPhase > 0
PTK6,1.0,,0.2942639836508492,Open Targets LUAD association with maxClinicalTrialPhase > 0
PPARG,1.0,,0.2929538812762661,Open Targets LUAD association with maxClinicalTrialPhase > 0
RARA,1.0,,0.2918759180819665,Open Targets LUAD association with maxClinicalTrialPhase > 0
BCL2,1.0,,0.2909531152015103,Open Targets LUAD association with maxClinicalTrialPhase > 0
XPO1,1.0,,0.2905105898864241,Open Targets LUAD association with maxClinicalTrialPhase > 0
EPAS1,1.0,,0.2899953269175079,Open Targets LUAD association with maxClinicalTrialPhase > 0
RAF1,1.0,,0.2893749568407169,Open Targets LUAD association with maxClinicalTrialPhase > 0
ESR1,1.0,,0.288589079027257,Open Targets LUAD association with maxClinicalTrialPhase > 0
IDH1,1.0,,0.287530201074242,Open Targets LUAD association with maxClinicalTrialPhase > 0
CDK6,1.0,,0.2846914325638771,Open Targets LUAD association with maxClinicalTrialPhase > 0
ACVR2A,1.0,,0.2828671812793036,Open Targets LUAD association with maxClinicalTrialPhase > 0
SYK,1.0,,0.2825211787351696,Open Targets LUAD association with maxClinicalTrialPhase > 0
BCL11A,1.0,,0.282446270889246,Open Targets LUAD association with maxClinicalTrialPhase > 0
IDH2,1.0,,0.2812392174757233,Open Targets LUAD association with maxClinicalTrialPhase > 0
CD79B,1.0,,0.280927468497287,Open Targets LUAD association with maxClinicalTrialPhase > 0
IL6ST,1.0,,0.2806966657015493,Open Targets LUAD association with maxClinicalTrialPhase > 0
LCK,1.0,,0.2806075566389684,Open Targets LUAD association with maxClinicalTrialPhase > 0
MUC16,1.0,,0.2803644781036598,Open Targets LUAD association with maxClinicalTrialPhase > 0
RPL22,1.0,,0.2800370784353521,Open Targets LUAD association with maxClinicalTrialPhase > 0
GRIN2A,1.0,,0.2798146570017494,Open Targets LUAD association with maxClinicalTrialPhase > 0
RXRA,1.0,,0.279535829533604,Open Targets LUAD association with maxClinicalTrialPhase > 0
ATP1A1,1.0,,0.2789235622293896,Open Targets LUAD association with maxClinicalTrialPhase > 0
BMPR1A,1.0,,0.277554470868211,Open Targets LUAD association with maxClinicalTrialPhase > 0
RPL10,1.0,,0.2771848910135263,Open Targets LUAD association with maxClinicalTrialPhase > 0
MPL,1.0,,0.2771848910135263,Open Targets LUAD association with maxClinicalTrialPhase > 0
TOP2B,1.0,0.4475046149085543,0.2729757871129505,Open Targets LUAD association with maxClinicalTrialPhase > 0
PRKCB,1.0,,0.2512775661199428,Open Targets LUAD association with maxClinicalTrialPhase > 0
COL3A1,1.0,,0.2399380942880851,Open Targets LUAD association with maxClinicalTrialPhase > 0
LYN,1.0,,0.2344014712353129,Open Targets LUAD association with maxClinicalTrialPhase > 0
COL2A1,1.0,,0.2321423462238283,Open Targets LUAD association with maxClinicalTrialPhase > 0
COL1A1,1.0,,0.2234678617656863,Open Targets LUAD association with maxClinicalTrialPhase > 0
ITGAV,1.0,,0.2212622741002944,Open Targets LUAD association with maxClinicalTrialPhase > 0
EPHA3,1.0,,0.2200339830920349,Open Targets LUAD association with maxClinicalTrialPhase > 0
ROCK1,1.0,,0.2145253639892989,Open Targets LUAD association with maxClinicalTrialPhase > 0
ALDH2,1.0,,0.2121199171136537,Open Targets LUAD association with maxClinicalTrialPhase > 0
PRKD1,1.0,,0.2108387367890946,Open Targets LUAD association with maxClinicalTrialPhase > 0
BCR,1.0,0.1215861595223242,0.2089667411977034,Open Targets LUAD association with maxClinicalTrialPhase > 0
AKT3,1.0,0.1215861595223242,0.2052410395404319,Open Targets LUAD association with maxClinicalTrialPhase > 0
CSF1R,1.0,,0.2021673936329943,Open Targets LUAD association with maxClinicalTrialPhase > 0
FLT1,1.0,0.1435392161027438,0.2008895103577536,Open Targets LUAD association with maxClinicalTrialPhase > 0
CCR4,1.0,,0.1964242637792356,Open Targets LUAD association with maxClinicalTrialPhase > 0
GSK3B,1.0,,0.1937746548152718,Open Targets LUAD association with maxClinicalTrialPhase > 0
ITK,1.0,,0.1888886705918749,Open Targets LUAD association with maxClinicalTrialPhase > 0
TSHR,1.0,,0.1876708536401535,Open Targets LUAD association with maxClinicalTrialPhase > 0
TOP1,1.0,,0.1859397313347033,Open Targets LUAD association with maxClinicalTrialPhase > 0
TEC,1.0,,0.1851595071970355,Open Targets LUAD association with maxClinicalTrialPhase > 0
PSMA4,1.0,,0.1650415372509576,Open Targets LUAD association with maxClinicalTrialPhase > 0
TGFB2,1.0,,0.1311712281580958,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFAF2,1.0,0.1730914076533087,0.1237065902486293,Open Targets LUAD association with maxClinicalTrialPhase > 0
GPD2,1.0,0.1730914076533087,0.1237065902486293,Open Targets LUAD association with maxClinicalTrialPhase > 0
RRM1,1.0,0.1654922726831635,0.1204483596944377,Open Targets LUAD association with maxClinicalTrialPhase > 0
HTR4,1.0,,0.120113452772528,Open Targets LUAD association with maxClinicalTrialPhase > 0
CHRNB4,1.0,,0.1187275283174604,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFS1,1.0,0.1730914076533087,0.1174922558410263,Open Targets LUAD association with maxClinicalTrialPhase > 0
RPL17,1.0,,0.1170665847371991,Open Targets LUAD association with maxClinicalTrialPhase > 0
RRM2,1.0,,0.1160287820478185,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFS8,1.0,0.1730914076533087,0.1146005532734812,Open Targets LUAD association with maxClinicalTrialPhase > 0
IL6,1.0,,0.1144603513548351,Open Targets LUAD association with maxClinicalTrialPhase > 0
TGFB1,1.0,,0.1144340092310246,Open Targets LUAD association with maxClinicalTrialPhase > 0
COL11A1,1.0,,0.1119523653597627,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFA13,1.0,0.1730914076533087,0.1113410642773037,Open Targets LUAD association with maxClinicalTrialPhase > 0
MT-ND6,1.0,0.1730914076533087,0.1111736240709173,Open Targets LUAD association with maxClinicalTrialPhase > 0
CD4,1.0,,0.1096441003926301,Open Targets LUAD association with maxClinicalTrialPhase > 0
PRIM2,1.0,0.1654922726831635,0.1092570445411649,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFB10,1.0,0.1730914076533087,0.1087103743394438,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFS3,1.0,0.1730914076533087,0.1085948806348548,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFB8,1.0,0.1730914076533087,0.1085024856711836,Open Targets LUAD association with maxClinicalTrialPhase > 0
TNF,1.0,,0.1078072712737402,Open Targets LUAD association with maxClinicalTrialPhase > 0
CEACAM5,1.0,,0.1075155363074032,Open Targets LUAD association with maxClinicalTrialPhase > 0
POLE2,1.0,0.1654922726831635,0.1075010733665744,Open Targets LUAD association with maxClinicalTrialPhase > 0
MT-ND5,1.0,0.1730914076533087,0.1072551536616228,Open Targets LUAD association with maxClinicalTrialPhase > 0
ADRB2,1.0,,0.1071203120389662,Open Targets LUAD association with maxClinicalTrialPhase > 0
LDHA,1.0,,0.1070714201724588,Open Targets LUAD association with maxClinicalTrialPhase > 0
POLD2,1.0,0.1654922726831635,0.1070267327792135,Open Targets LUAD association with maxClinicalTrialPhase > 0
PTGS2,1.0,0.030396539880581,0.1063597406422888,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFA11,1.0,0.1730914076533087,0.106151547151106,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFB5,1.0,0.1730914076533087,0.106151547151106,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFS6,1.0,0.1730914076533087,0.106151547151106,Open Targets LUAD association with maxClinicalTrialPhase > 0
MT-ND1,1.0,0.1730914076533087,0.106151547151106,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFB6,1.0,0.1730914076533087,0.106151547151106,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFC2,1.0,0.1730914076533087,0.106151547151106,Open Targets LUAD association with maxClinicalTrialPhase > 0
POLA2,1.0,0.1654922726831635,0.1058281647782568,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFV1,1.0,0.1730914076533087,0.1055971773690789,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFA7,1.0,0.1730914076533087,0.1055971773690789,Open Targets LUAD association with maxClinicalTrialPhase > 0
MT-ND4,1.0,0.1730914076533087,0.1055971773690789,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFAB1,1.0,0.1730914076533087,0.1055971773690789,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFV2,1.0,0.1730914076533087,0.1055971773690789,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFA1,1.0,0.1730914076533087,0.1055971773690789,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFC1,1.0,0.1730914076533087,0.1055971773690789,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFV3,1.0,0.1730914076533087,0.1055971773690789,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFS7,1.0,0.1730914076533087,0.1055971773690789,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFB1,1.0,0.1730914076533087,0.1055971773690789,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFS5,1.0,0.1730914076533087,0.1055971773690789,Open Targets LUAD association with maxClinicalTrialPhase > 0
IL1B,1.0,,0.1055660336725174,Open Targets LUAD association with maxClinicalTrialPhase > 0
VWF,1.0,,0.1053035083835228,Open Targets LUAD association with maxClinicalTrialPhase > 0
MT-ND4L,1.0,0.1730914076533087,0.1052275975143942,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFB2,1.0,0.1730914076533087,0.1052275975143942,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFA2,1.0,0.1730914076533087,0.1052275975143942,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFA10,1.0,0.1730914076533087,0.1052275975143942,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFAF1,1.0,0.1730914076533087,0.1052275975143942,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFAF4,1.0,0.1730914076533087,0.1052275975143942,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFB3,1.0,0.1730914076533087,0.1052275975143942,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFAF3,1.0,0.1730914076533087,0.1052275975143942,Open Targets LUAD association with maxClinicalTrialPhase > 0
MT-ND2,1.0,0.1730914076533087,0.1052275975143942,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFA8,1.0,0.1730914076533087,0.1052275975143942,Open Targets LUAD association with maxClinicalTrialPhase > 0
MT-ND3,1.0,0.1730914076533087,0.1052275975143942,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFB11,1.0,0.1730914076533087,0.1052275975143942,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFA12,1.0,0.1730914076533087,0.1052275975143942,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFA3,1.0,0.1730914076533087,0.1052275975143942,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFA5,1.0,0.1730914076533087,0.1052275975143942,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFS2,1.0,0.1730914076533087,0.1052275975143942,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFB4,1.0,0.1730914076533087,0.1052275975143942,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFB7,1.0,0.1730914076533087,0.1052275975143942,Open Targets LUAD association with maxClinicalTrialPhase > 0
COXFA4L2,1.0,0.1730914076533087,0.1052275975143942,Open Targets LUAD association with maxClinicalTrialPhase > 0
COXFA4,1.0,0.1730914076533087,0.1052275975143942,Open Targets LUAD association with maxClinicalTrialPhase > 0
NDUFA9,1.0,0.1730914076533087,0.1052275975143942,Open Targets LUAD association with maxClinicalTrialPhase > 0
