node_id,gene_symbol,clinical_target_label
0,A1BG,0
1,A1BG-AS1,0
2,A2M,1
3,A2M-AS1,0
4,A2ML1,0
5,A4GALT,0
6,A4GNT,0
7,AAAS,0
8,AACS,0
9,AADAC,0
10,AADACL2,0
11,AADACL4,0
12,AADAT,0
13,AAED1,0
14,AAGAB,0
15,AAK1,0
16,AAMDC,0
17,AAMP,0
18,AANAT,0
19,AAR2,0
20,AARD,0
21,AARS,0
22,AARS2,0
23,AARSD1,0
24,AASDH,0
25,AASDHPPT,0
26,AASS,0
27,AATBC,0
28,AATF,0
29,AATK,0
30,AB015752.3,0
31,AB019440.50,0
32,ABALON,0
33,ABAT,1
34,ABC12-49244600F4.4,0
35,ABC7-42404400C24.1,0
36,ABCA1,1
37,ABCA10,0
38,ABCA12,0
39,ABCA13,0
40,ABCA2,0
41,ABCA3,0
42,ABCA4,0
43,ABCA5,0
44,ABCA6,0
45,ABCA7,0
46,ABCA8,0
47,ABCA9,0
48,ABCA9-AS1,0
49,ABCB1,1
50,ABCB10,0
51,ABCB4,0
52,ABCB5,0
53,ABCB6,0
54,ABCB7,0
55,ABCB8,0
56,ABCB9,0
57,ABCC1,1
58,ABCC10,0
59,ABCC11,0
60,ABCC12,0
61,ABCC2,0
62,ABCC3,0
63,ABCC4,0
64,ABCC5,0
65,ABCC5-AS1,0
66,ABCC6,0
67,ABCC8,1
68,ABCC9,1
69,ABCD1,1
70,ABCD2,0
71,ABCD3,0
72,ABCD4,0
73,ABCE1,0
74,ABCF1,0
75,ABCF2,0
76,ABCF3,0
77,ABCG1,0
78,ABCG2,0
79,ABCG4,0
80,ABCG5,0
81,ABHD1,0
82,ABHD10,0
83,ABHD11,0
84,ABHD11-AS1,0
85,ABHD12,0
86,ABHD12B,0
87,ABHD13,0
88,ABHD14A,0
89,ABHD14B,0
90,ABHD15,0
91,ABHD15-AS1,0
92,ABHD16A,0
93,ABHD17A,0
94,ABHD17B,0
95,ABHD17C,0
96,ABHD18,0
97,ABHD2,0
98,ABHD3,0
99,ABHD4,0
100,ABHD5,0
101,ABHD6,0
102,ABHD8,0
103,ABI1,0
104,ABI2,0
105,ABI3,0
106,ABI3BP,0
107,ABL1,1
108,ABL2,0
109,ABLIM1,0
110,ABLIM2,0
111,ABLIM3,0
112,ABO,0
113,ABR,0
114,ABRA,0
115,ABRACL,0
116,ABT1,0
117,ABTB1,0
118,ABTB2,0
119,AC000032.2,0
120,AC000067.1,0
121,AC000068.10,0
122,AC000068.5,0
123,AC000068.9,0
124,AC000124.1,0
125,AC000403.4,0
126,AC001226.7,0
127,AC002064.5,0
128,AC002066.1,0
129,AC002076.10,0
130,AC002115.9,0
131,AC002116.7,0
132,AC002117.1,0
133,AC002128.5,0
134,AC002306.1,0
135,AC002310.12,0
136,AC002310.7,0
137,AC002331.1,0
138,AC002398.11,0
139,AC002398.12,0
140,AC002429.5,0
141,AC002451.3,0
142,AC002454.1,0
143,AC002456.2,0
144,AC002467.7,0
145,AC002480.2,0
146,AC002480.3,0
147,AC002480.4,0
148,AC002511.2,0
149,AC002550.5,0
150,AC002550.6,0
151,AC003075.4,0
152,AC003084.2,0
153,AC003090.1,0
154,AC003092.1,0
155,AC003956.1,0
156,AC003991.3,0
157,AC004012.1,0
158,AC004019.13,0
159,AC004053.1,0
160,AC004067.5,0
161,AC004069.2,0
162,AC004076.5,0
163,AC004156.3,0
164,AC004158.3,0
165,AC004160.4,0
166,AC004221.2,0
167,AC004231.2,0
168,AC004237.1,0
169,AC004257.1,0
170,AC004381.6,0
171,AC004448.2,0
172,AC004448.5,0
173,AC004449.6,0
174,AC004490.1,0
175,AC004510.3,0
176,AC004540.4,0
177,AC004540.5,0
178,AC004549.6,0
179,AC004556.1,0
180,AC004623.2,0
181,AC004754.3,0
182,AC004775.5,0
183,AC004791.2,0
184,AC004854.4,0
185,AC004878.2,0
186,AC004878.8,0
187,AC004893.11,0
188,AC004895.4,0
189,AC004901.1,0
190,AC004941.3,0
191,AC004947.2,0
192,AC004951.6,0
193,AC004988.1,0
194,AC005009.1,0
195,AC005009.2,0
196,AC005013.5,0
197,AC005019.3,0
198,AC005037.3,0
199,AC005042.4,0
200,AC005076.5,0
201,AC005082.12,0
202,AC005152.3,0
203,AC005197.2,0
204,AC005220.3,0
205,AC005224.2,0
206,AC005237.4,0
207,AC005253.2,0
208,AC005253.4,0
209,AC005256.1,0
210,AC005262.2,0
211,AC005264.2,0
212,AC005281.1,0
213,AC005307.1,0
214,AC005307.3,0
215,AC005329.7,0
216,AC005330.2,0
217,AC005339.2,0
218,AC005355.2,0
219,AC005358.3,0
220,AC005363.11,0
221,AC005477.1,0
222,AC005480.1,0
223,AC005481.5,0
224,AC005487.2,0
225,AC005498.3,0
226,AC005523.2,0
227,AC005523.3,0
228,AC005534.8,0
229,AC005537.2,0
230,AC005540.3,0
231,AC005546.2,0
232,AC005550.3,0
233,AC005592.1,0
234,AC005592.2,0
235,AC005592.3,0
236,AC005606.15,0
237,AC005609.17,0
238,AC005609.18,0
239,AC005609.20,0
240,AC005614.3,0
241,AC005616.1,0
242,AC005616.2,0
243,AC005618.6,0
244,AC005624.2,0
245,AC005625.1,0
246,AC005740.6,0
247,AC005754.7,0
248,AC005754.8,0
249,AC005757.6,0
250,AC005775.2,0
251,AC005786.5,0
252,AC005786.7,0
253,AC005808.3,0
254,AC005863.1,0
255,AC005932.1,0
256,AC005944.2,0
257,AC005954.4,0
258,AC006004.1,0
259,AC006042.6,0
260,AC006116.12,0
261,AC006116.17,0
262,AC006126.3,0
263,AC006129.1,0
264,AC006129.2,0
265,AC006145.4,0
266,AC006159.4,0
267,AC006160.5,0
268,AC006262.10,0
269,AC006262.4,0
270,AC006262.5,0
271,AC006273.4,0
272,AC006273.5,0
273,AC006277.2,0
274,AC006369.2,0
275,AC006372.4,0
276,AC006372.5,0
277,AC006449.2,0
278,AC006460.2,0
279,AC006482.1,0
280,AC006547.13,0
281,AC006547.15,0
282,AC006547.8,0
283,AC006942.4,0
284,AC006946.15,0
285,AC006946.16,0
286,AC006946.17,0
287,AC006994.2,0
288,AC006994.3,0
289,AC007009.1,0
290,AC007036.6,0
291,AC007038.7,0
292,AC007040.11,0
293,AC007050.17,0
294,AC007064.24,0
295,AC007099.1,0
296,AC007126.1,0
297,AC007128.1,0
298,AC007131.1,0
299,AC007161.5,0
300,AC007163.3,0
301,AC007163.6,0
302,AC007182.6,0
303,AC007192.6,0
304,AC007193.9,0
305,AC007228.11,0
