symbol,globalScore,maxClinicalTrialPhase,chembl
EGFR,0.8292698311059319,1.0,0.6415169547180812
BRAF,0.8019671478753251,1.0,
KRAS,0.8003886728265591,1.0,
STK11,0.7747187996860453,,
ALK,0.769868694635861,1.0,0.469457671488974
ERBB2,0.7567662076802342,1.0,0.1519826994029052
ROS1,0.754504598894159,1.0,
TP53,0.7422964934179282,0.75,
MET,0.7151953563766649,1.0,0.4770568064591193
RET,0.6862722871306738,1.0,
NRG1,0.6579997112263467,,
RBM10,0.6518357800728358,,
KEAP1,0.6353488343837773,1.0,
RB1,0.6199061975268902,,
EML4,0.6176371143739875,1.0,0.469457671488974
TP63,0.5982842096970941,,
ATM,0.5873950875040583,,
ERBB4,0.5828932272872733,1.0,0.1519826994029052
SMARCA4,0.5818323758053949,,
LRP1B,0.5789110759203189,,
PIK3CA,0.5688147613265605,1.0,
CDKN2A,0.5668398085239335,,
CTNNB1,0.5563779102836472,0.5,
ARID1A,0.5513678656238444,,
NTRK1,0.551348162477766,1.0,
KIF5B,0.5344506612823122,1.0,
U2AF1,0.530032872821657,,
NF1,0.5273612232824937,,
TERT,0.5204061388951156,1.0,
APC,0.5179127961692358,,
SETD2,0.5133081266353925,,
SLC34A2,0.5126457977826889,0.5,
BRCA2,0.5041495753569576,,
STN1,0.4916901455251344,,
CD74,0.4903318817735577,1.0,
SDC4,0.4866751840735412,1.0,
PBX1,0.4864132302671269,,
LRIG3,0.4841504413353923,,
SECISBP2L,0.4826704221833138,,
TCF3,0.4741677710672792,,
CCDC6,0.4626404601047864,1.0,
CHRNA5,0.4620831419558656,0.5,
EIF3E,0.4606684562306375,,
FGFR2,0.4570347073798985,1.0,0.0759913497014526
FGFR3,0.4518303101472256,1.0,0.0759913497014526
NRAS,0.4516298635482483,0.5,
KDR,0.4483623859411038,1.0,0.1818341176626687
MTAP,0.4472130821412726,,
POLQ,0.4432855982713367,,
MAML2,0.4418354849817852,,
CRTC1,0.44103965950405,,
CLPTM1L,0.4382832931537937,,
CLTC,0.4366791305241242,,
ARAF,0.4352171420788734,1.0,
PTEN,0.4299506273005269,,
HGF,0.4299227443729835,0.75,
TET2,0.4297251802434422,,
TRRAP,0.4266228953698456,,
MPZL3,0.4231032036796665,,
SMAD4,0.4219188758042311,,
KMT2C,0.4210563296815614,,
FOXP4,0.4205843158901909,,
TRIM24,0.4202561279110284,,
CHEK2,0.4200768742343116,0.5,
MAP3K1,0.4181079319154771,0.5,
IRS4,0.4157773365202895,,
TUBB,0.4117047062897978,1.0,0.6525092942184839
SPEN,0.406466605309566,,
DCBLD1,0.403247924059689,,
BAZ1A,0.4029226247156251,,
NCOR1,0.4023506866338789,,
TUBB6,0.4013455924809566,1.0,0.6525092942184839
IGF1R,0.4005082433039439,1.0,0.1519826994029052
TUBB3,0.3997421054655539,1.0,0.6525092942184839
TUBB4A,0.3978354327291285,1.0,0.6525092942184839
TUBB4B,0.3976044453199506,1.0,0.6525092942184839
TUBB1,0.3974196553926082,1.0,0.6525092942184839
TUBB2B,0.3973202590955392,1.0,0.6525092942184839
PTPRB,0.3967821755544986,0.5,
TUBB2A,0.3966804956832389,1.0,0.6525092942184839
TUBB8,0.3966804956832389,1.0,0.6525092942184839
EP300,0.3933789500280206,,
POT1,0.3910095442899751,,
CDK12,0.3904679479999612,0.5,
ATIC,0.3898827487636089,,
NTRK2,0.3875868269876682,1.0,
RHPN2,0.3873536853431733,,
CDKN2B,0.3869493890673287,,
MAP2K1,0.3868745335649459,1.0,0.0607930797611621
DDR2,0.3855216449362449,1.0,
PTCH1,0.3849522207570997,,
PBRM1,0.3840274631342599,,
DICER1,0.3832889368440624,,
HOXA9,0.3822168930486363,,
BRCA1,0.380471240950877,,
FGFR1,0.3800217467825879,1.0,0.0759913497014526
MED12,0.3795187295962747,,
AFF3,0.3787368562064652,,
EZR,0.3783816274526086,,
FLT3,0.3771625963024043,1.0,
PER3,0.376872640497803,,
FANCD2,0.3767940516288742,,
CDH1,0.3758193619671847,,
HNF1B,0.375765117169329,,
NTRK3,0.3754433152990378,1.0,
TYMS,0.3748820829267258,1.0,0.5744064863863053
FAT1,0.3740355648448203,,
FGF10,0.3737774998773291,,
PDCD1,0.3736505512934944,1.0,0.5722557162347304
GPR37,0.3719745537289254,,
VEGFA,0.3714494111107757,1.0,0.5698140735500097
TFG,0.3714277539581253,,
XPC,0.371116446885165,,
PTPN11,0.370939119158919,0.5,
NUTM1,0.3708733841760982,,
PDGFRB,0.3695340656935992,1.0,0.1435392161027438
FBXW7,0.3671417043511435,,
MSI2,0.3659908282986371,,
NCOA2,0.3657517939459681,,
NPM1,0.3655458488064116,1.0,0.469457671488974
NOTCH1,0.3637463807447192,0.5,
TSC1,0.3620983383292119,,
ACVR1B,0.3619686376838061,,
ATR,0.3618925132219032,0.75,
FLCN,0.3597454843608494,,
MTOR,0.3589423233830623,1.0,
PTPRC,0.3581341006841065,0.5,
GCLC,0.3581289278157383,,
MGA,0.3575866400581503,,
BCOR,0.357557446939192,,
MYNN,0.3574570924382458,,
MAP2K2,0.3570390823340226,1.0,0.0607930797611621
ETV1,0.3568629264465126,,
GART,0.3567549306661405,1.0,0.5744064863863053
PSIP1,0.3565985033794578,,
CIC,0.3565879655035411,,
FCRL4,0.3562852460231271,,
FHIT,0.3555339598746534,,
NCOR2,0.3549695844370159,,
DHFR,0.354343582542893,1.0,0.5744064863863053
POLE,0.3533144271252527,1.0,0.1654922726831635
BRIP1,0.3530772857700381,,
EZH2,0.3529681833293918,1.0,
NOTCH2,0.3528675955554575,0.5,
NKX2-1,0.3518912112295527,,
AKT2,0.3515622530986454,1.0,0.1215861595223242
DDX3X,0.3514618182752087,,
PIK3CB,0.3511044791888763,0.75,
NUP98,0.3508570419074455,,
HIF1A,0.3507564926257141,,
RICTOR,0.3506836355823011,,
SF3B1,0.3503841850155906,,
SMAD3,0.3503826412031264,,
BAP1,0.3499082847490095,,
DEK,0.3496379416923397,,
LPP,0.3493792583166423,,
STAG2,0.3489988765269474,,
GNAS,0.3489885490774494,,
GPC3,0.3488455457252061,0.5,
ARID1B,0.348795045386194,,
TBL1XR1,0.3487425410004527,,
NAF1,0.3486919116857138,,
MAP3K13,0.3481904205948246,0.75,
KMT2A,0.3481181440583338,1.0,
HIP1,0.3478232757978843,,
KMT2D,0.3475815076841863,,
MYH9,0.3473169564878839,,
MDM2,0.3471403707172563,0.75,
MLLT10,0.3470354835489349,,
KAT6B,0.3464811137669079,,
FUS,0.3461864733511818,,
BARD1,0.3452623728655497,,
CREB1,0.3450227172143436,,
ARHGAP26,0.3449719960269454,,
SOS1,0.3447201701731883,,
GATA1,0.3444804773427966,,
ERCC5,0.3439145869982641,,
DNMT3A,0.3438695295097791,1.0,
MDM4,0.3437113681817023,,
AR,0.3436786752813183,1.0,
NDRG1,0.3434087483633615,,
PTPRT,0.3432911512534193,,
MITF,0.3432883544667151,,
ARID2,0.3432611050270455,,
TFEB,0.3431998655996515,,
NF2,0.3430893464503984,,
PLCG1,0.3430664206116587,,
PRKAR1A,0.3429292602283615,,
MECOM,0.3423339299831131,,
NFATC2,0.3422444063776271,,
NSD3,0.3420410224571542,,
PDCD1LG2,0.3410658132339022,0.25,
CTNNA2,0.3394964995046505,,
KLF6,0.3394009259722709,,
PIK3R1,0.3393385084167206,0.75,
RAD51B,0.3391662630092797,,
UBR5,0.3388117317129611,,
CDKN1B,0.3386288236448633,,
PRF1,0.33834904450726,,
JAK2,0.3375019928842583,1.0,
ACTRT3,0.3372822636494723,,
USP8,0.337148718596339,,
