Candidate_Rank,Node_ID,Gene_Symbol,Prediction_Score_Mean,Prediction_Score_SD,Rank_Mean_Across_Seeds,Rank_SD_Across_Seeds,Top100_Frequency_Across_Seeds,Top500_Frequency_Across_Seeds,Clinical_Target_Label,Top_Cell_Type,Top_Cell_Type_Z,Attention_PPI_Mean,Attention_CellTypeSimilarity_Mean,Attention_Pathway_Mean,Score_Drop_Remove_PPI,Score_Drop_Remove_CellTypeSimilarity,Score_Drop_Remove_Pathway,Attention_PPI_SD,Attention_PPI_Q2.5,Attention_PPI_Q97.5,Attention_CellTypeSimilarity_SD,Attention_CellTypeSimilarity_Q2.5,Attention_CellTypeSimilarity_Q97.5,Attention_Pathway_SD,Attention_Pathway_Q2.5,Attention_Pathway_Q97.5,Score_Drop_Remove_PPI_SD,Score_Drop_Remove_PPI_Q2.5,Score_Drop_Remove_PPI_Q97.5,Score_Drop_Remove_CellTypeSimilarity_SD,Score_Drop_Remove_CellTypeSimilarity_Q2.5,Score_Drop_Remove_CellTypeSimilarity_Q97.5,Score_Drop_Remove_Pathway_SD,Score_Drop_Remove_Pathway_Q2.5,Score_Drop_Remove_Pathway_Q97.5
1,11424,LUM,0.9700983,0.036398925,64.0,124.57215668929483,0.9,1.0,0,Fibroblasts,3.7413580905767496,0.13598892,0.77419746,0.08981367,0.12230499,-0.024375457,-0.0026992082,0.16753775,7.074164992560556e-08,0.4452150337398053,0.326998,0.1048748193308711,0.9999711751937866,0.16991694,1.1363490273197385e-06,0.44991009160876283,0.16817805,-9.238719940185547e-08,0.422612339258194,0.029947488,-0.08519006967544555,0.005430838465690615,0.005156337,-0.013655464351177215,0.0001279920339584351
2,20036,RPS18,0.9653174,0.025622927,53.3,64.99239271723353,0.8,1.0,0,B,1.5724514876161002,0.07614669,0.8619815,0.06187179,0.003174007,0.089535415,-0.0017450809,0.14278829,0.0,0.36629306152462965,0.31542468,0.1621561972424388,1.0,0.1914153,3.7018971160285766e-28,0.4715507566928866,0.008153383,-0.0038504675030708313,0.019079025089740756,0.21764465,-0.04417954981327057,0.5098560228943825,0.004811226,-0.012355300784111022,5.6266784667968764e-05
3,20031,RPS14,0.9617791,0.034249246,74.6,125.25547226901237,0.8,1.0,0,B,1.528493169804423,0.08120932,0.8594278,0.059362847,0.0003538668,0.09322701,0.0018341482,0.15410095,0.0,0.39401074498891836,0.31690922,0.15636809151619674,1.0,0.18216102,1.3966073309295452e-26,0.44962115734815616,0.0063639292,-0.006819091737270355,0.012942336499691016,0.21826993,-0.04402490854263306,0.5103878349065781,0.0069796797,-0.0025296539068222048,0.0166638806462288
4,19961,RPL13,0.9594511,0.035387117,85.4,135.45823464571407,0.8,1.0,0,B,1.5526772090810324,0.08007327,0.858191,0.06173575,-0.0018494785,0.093933575,0.0070102154,0.14951366,0.0,0.37509611397981646,0.31739342,0.1544861549511552,1.0,0.1910339,4.805257216057601e-28,0.4705990150570871,0.01149286,-0.023990856111049653,0.014290779829025275,0.2187275,-0.049270981550216676,0.5085416883230209,0.023215258,-0.002369824051856995,0.056612655520439176
5,20029,RPS12,0.9586731,0.03729432,90.1,154.0818325147748,0.8,0.9,0,B,1.7051203340320014,0.075920664,0.8636443,0.060434997,-0.00016849636,0.09213741,0.003266555,0.14434528,0.0,0.37583724856376655,0.31422466,0.16657203221693637,1.0,0.18535914,1.4903772668587072e-26,0.45759071409702323,0.007765887,-0.011831638216972352,0.013943794369697577,0.21800978,-0.04837395548820496,0.5080787241458893,0.011556625,-0.0027002006769180297,0.02792467772960664
6,19979,RPL27A,0.95776737,0.04453383,110.7,228.5743496837152,0.8,0.9,0,B,1.4625830708702054,0.084278986,0.85814,0.057581075,-0.0018922209,0.09618147,0.0053889393,0.15966971,0.0,0.4105839960277081,0.317021,0.15542701072990894,1.0,0.1756019,3.9739916975798806e-26,0.4339889973402025,0.011055129,-0.02342381775379181,0.013288225233554846,0.21885893,-0.046404047310352324,0.5102100893855095,0.018397711,-0.0030326098203659058,0.044685961306095145
7,19983,RPL30,0.9561244,0.04155389,111.0,209.08424670984235,0.8,0.9,0,B,1.7430171137734594,0.100508355,0.84336245,0.05612927,0.0015728414,0.08612456,0.00068485737,0.18422003,0.0,0.44963028728961946,0.32551655,0.13055611280724408,1.0,0.16980319,5.209631796290055e-26,0.42085161209106464,0.010670106,-0.010624963045120239,0.02277417778968812,0.20822233,-0.05000987648963928,0.4713836804032326,0.0041574393,-0.003919018805027008,0.009033896028995517
8,19984,RPL31,0.9535993,0.04874007,138.3,292.7991537631973,0.8,0.9,0,B,1.7042189963453251,0.121128365,0.8272947,0.051576965,0.0018381715,0.037779808,-2.7132035e-05,0.22163521,0.0,0.5456982582807541,0.33959553,0.10200464548543096,1.0,0.15337564,2.8001313947124115e-25,0.3823059238493444,0.01479703,-0.018965660035610198,0.02999659627676011,0.16014317,-0.05062979608774185,0.39326685518026366,0.0028697466,-0.00504189282655716,0.004430380463600161
9,19968,RPL18A,0.9532197,0.04294064,121.2,225.38056704161517,0.8,0.9,0,B,1.5937297825553414,0.09755768,0.84418803,0.058254324,-6.9612266e-05,0.089685425,0.003379631,0.17696103,0.0,0.42899129167199135,0.3241984,0.1336521642282605,1.0,0.17705071,1.534379698883517e-26,0.4382894441485407,0.012781204,-0.016390155255794524,0.024065120518207563,0.21713968,-0.05405070930719376,0.5022351160645485,0.012384174,-0.0037918478250503537,0.029760168492794052
10,20052,RPS3A,0.95283353,0.033501256,100.8,135.03151895432083,0.8,1.0,0,B,1.6039534188392204,0.09706856,0.8425337,0.060397733,0.0039812983,0.08051664,-0.001070708,0.17328894,0.0,0.4175060331821442,0.32432753,0.13317327769473195,1.0,0.183755,8.78184313204071e-27,0.4547747120261194,0.014351997,-0.010747310519218446,0.03441807925701142,0.21218458,-0.05920434594154358,0.48335282355546955,0.0023951337,-0.00601375550031662,0.000217302143573761
11,20035,RPS17,0.95237195,0.0435724,126.2,234.95616612466247,0.8,0.9,0,B,1.7475884478872084,0.10414481,0.8394173,0.056437932,0.0013521314,0.07671993,0.0009821117,0.1894499,0.0,0.455556632578373,0.32780865,0.12528215423226358,1.0,0.16921808,2.501343574236605e-25,0.4202633306384088,0.012267177,-0.014068780839443207,0.025203506648540507,0.19289453,-0.05298197418451309,0.44848107248544694,0.0054379227,-0.004713872075080871,0.012032134830951696
12,19996,RPL39,0.94899046,0.052151624,157.8,326.38382312853685,0.8,0.9,0,B,1.6167618735202625,0.08337816,0.8592609,0.0573609,-0.0019638836,0.09224949,0.005926484,0.1576946,0.0,0.4104407690465451,0.31518173,0.16102090440690517,1.0,0.17290255,1.3128439715450982e-24,0.4285382717847826,0.012667135,-0.02611343115568161,0.016193976998329168,0.21909387,-0.05488413423299789,0.503890685737133,0.020570537,-0.004107719659805298,0.04985533654689791
13,19967,RPL18,0.9464587,0.04653842,154.7,288.6686104630475,0.8,0.9,0,B,1.865825492041229,0.12798811,0.81738997,0.054621868,0.0024863065,0.03059175,4.5681e-05,0.23007213,0.0,0.5817928284406663,0.34679475,0.09051773622632027,1.0,0.16079615,5.186919515585966e-25,0.4020522914826872,0.0218042,-0.02777057588100433,0.04387392699718477,0.15844122,-0.060019829869270326,0.3818861082196237,0.0036776145,-0.0062816828489303585,0.005901108682155612
14,20000,RPL41,0.9460864,0.07109529,214.9,525.0755395390479,0.8,0.9,0,B,1.5971850340621756,0.06538443,0.8799032,0.054712348,-0.0117006125,0.24595527,0.025005605,0.14699584,6.463489166698219e-44,0.3911801874637605,0.30880058,0.19560068026185037,1.0,0.16678645,3.5916854764083035e-24,0.4132191345095636,0.03575337,-0.08892726302146911,0.0005960509181022644,0.25720766,-0.048747092485427856,0.5444249212741852,0.080056876,-0.002212534844875336,0.19596222415566453
15,20007,RPL9,0.9459861,0.03788811,135.9,193.41518382312526,0.7,0.9,0,B,1.8051451880477725,0.10045819,0.8392404,0.060301375,0.001878965,0.07866686,0.0016738952,0.1794719,0.0,0.43807048350572586,0.32656854,0.1280120426788926,1.0,0.18215206,8.171175171424459e-26,0.4516270726919176,0.01595028,-0.016582290828227996,0.03384810239076616,0.21218525,-0.06401301920413971,0.47775519266724586,0.0076121083,-0.004966320097446441,0.017540951073169716
16,19976,RPL26,0.94420373,0.038103286,142.5,199.55297263856755,0.6,0.9,0,B,1.4847238683199897,0.087876216,0.851117,0.061006814,0.000801754,0.08089189,0.0030589341,0.16057546,0.0,0.39610000029206277,0.31976974,0.14567433251067996,1.0,0.18543734,1.6619383234999637e-25,0.45888913124799746,0.013243769,-0.01390138864517212,0.027088049054145826,0.2202874,-0.06311403214931488,0.4970586776733399,0.011990297,-0.005053672194480896,0.028474645316600815
17,19981,RPL29,0.94323903,0.052171707,178.8,359.0511569864848,0.8,0.9,0,B,1.7271157553721759,0.11799188,0.8266085,0.055399667,-0.0013216317,0.033840667,0.003439796,0.21392958,0.0,0.5326038531959058,0.33860433,0.10446132700890302,1.0,0.16273938,2.641846968409037e-24,0.40644897297024746,0.018890493,-0.03110889196395874,0.03158328980207445,0.15995295,-0.056187772750854494,0.38812027871608745,0.013970843,-0.006956478953361512,0.032949130237102525
18,19970,RPL21,0.9425334,0.033551406,142.3,161.48274761651098,0.5,0.9,0,B,1.5986403076084286,0.086957276,0.84880704,0.06423562,0.00083942414,0.0772139,0.0055053057,0.15522984,0.0,0.37510916590690613,0.3204102,0.1435861721634865,1.0,0.1980429,2.4563303505567813e-27,0.4887277916073801,0.017311132,-0.019900166988372804,0.03483455181121828,0.21998979,-0.07457846701145172,0.49334558695554737,0.019274008,-0.004201538860797882,0.046653591096401235
19,19974,RPL23A,0.9422461,0.03162137,139.3,152.4933878347954,0.6,1.0,0,B,1.6167874211439366,0.104899384,0.8328477,0.06225299,0.0076226117,0.061848473,-0.0025522113,0.18384106,0.0,0.4596470840275288,0.32991758,0.12096481220796705,1.0,0.19032305,7.413091546143179e-27,0.4708916425704958,0.024456253,-0.014946216344833374,0.06026552170515062,0.1997592,-0.08628210872411728,0.43961552381515506,0.006705956,-0.01747703701257706,0.00035140365362167363
20,5746,DCN,0.941271,0.02677763,120.2,105.94841512107044,0.5,1.0,0,Fibroblasts,3.7407833199140548,0.10545824,0.7798395,0.11470226,0.12526658,-0.05233255,-0.004473865,0.11748521,1.7621465048852508e-10,0.27090858966112136,0.32372454,0.11430867351591588,0.9999987661838532,0.23030818,3.7931688989800706e-08,0.6147827811539175,0.16066751,0.0,0.37389084696769714,0.02738275,-0.09201108515262604,-0.009520614147186267,0.013562249,-0.033679111301898955,0.007634620368480686
21,19986,RPL34,0.94125384,0.037636466,157.8,204.2666013925048,0.6,0.9,0,B,1.6324705551767782,0.09248863,0.84548056,0.062030792,-8.740425e-05,0.07885477,0.0058921697,0.1662239,0.0,0.4028068795800209,0.32280985,0.13712850017473102,1.0,0.1899258,1.1602225119395886e-26,0.469507232308388,0.017711477,-0.023955322802066803,0.03322868496179582,0.22055553,-0.0708132803440094,0.4949580475687981,0.020761125,-0.004834806919097901,0.05021106004714968
22,19989,RPL35A,0.94066846,0.04652104,178.8,302.86146447949875,0.8,0.9,0,B,1.6287270283428181,0.11762849,0.8261763,0.05619523,0.0009107053,0.031336285,0.0021714866,0.21177156,0.0,0.5302912563085557,0.3383551,0.10478239394724369,1.0,0.16774504,5.231965052873678e-25,0.4177106767892839,0.020829145,-0.027874454855918884,0.0404711499810219,0.15930606,-0.06769372373819352,0.382305082678795,0.009848242,-0.006475141644477845,0.02269393801689149
23,19978,RPL27,0.9400846,0.04913924,182.4,320.78764176805674,0.7,0.9,0,B,1.7166418134046164,0.117561616,0.82506293,0.05737548,0.003772992,0.026118945,-2.0802022e-06,0.2072287,0.0,0.5111527375876904,0.3361308,0.10927249900996686,1.0,0.16650361,4.309298345609975e-24,0.41711836755275744,0.022648718,-0.02394787073135376,0.049088034033775346,0.15709566,-0.06820769608020782,0.3737257644534112,0.0042145923,-0.007441742718219757,0.006528377532958987
24,20042,RPS23,0.9396659,0.030555084,141.6,136.55296082879752,0.5,1.0,0,B,1.8663599385614764,0.09152298,0.84333056,0.0651464,0.0044194935,0.069850534,0.0003326595,0.15947646,0.0,0.38807743936777117,0.32189333,0.13943684166297318,1.0,0.19850022,9.826414093081972e-27,0.4910853549838068,0.019454617,-0.013041654229164123,0.04530327171087267,0.2163048,-0.07679471224546433,0.4850346870720387,0.003441546,-0.0045445263385772705,0.006700709462165835
25,12362,MT-CO3,0.9382607,0.03813406,144.9,186.14895469309874,0.5,0.9,0,M2,1.9885347238148197,0.05242023,0.88007766,0.06750214,0.029787857,-0.0015595764,-0.0049433885,0.11782,1.9469889593806425e-40,0.31021790951490413,0.30692178,0.20577023699879646,1.0,0.19003473,1.26786592403461e-16,0.48401188850402854,0.06444029,-0.0003121301531791687,0.1706393346190453,0.169334,-0.1264865517616272,0.36147767975926415,0.014870421,-0.03692830055952072,9.365230798721318e-05
26,8109,GNB2L1,0.937148,0.07054901,244.0,443.255882959017,0.7,0.8,0,B,1.5698087688399056,0.17477258,0.7392493,0.08597813,-0.0060805143,0.027530622,0.009030158,0.33332357,0.0,0.8839375957846644,0.40106672,0.0027471182867884634,0.9999998390674592,0.15687516,2.1640340334940818e-33,0.42911270707845695,0.0649489,-0.12678079456090927,0.08727837651968007,0.15152927,-0.04709981083869934,0.35422913581132903,0.013108976,-0.007933796942234039,0.02850930541753769
27,19988,RPL35,0.9368291,0.04383747,185.0,277.62564723022257,0.6,0.9,0,B,1.7203485608363058,0.123825334,0.81738186,0.058792852,0.004397005,0.020977562,5.876422e-05,0.2182132,0.0,0.5523959942162038,0.3433858,0.09710109550505877,1.0,0.17255934,1.2863961927794692e-24,0.4316776454448702,0.028103871,-0.029761797189712523,0.06032584905624392,0.15728961,-0.07636525183916092,0.3686046555638315,0.004370069,-0.0075316354632377625,0.006973536312580112
28,19973,RPL23,0.93440837,0.038305387,171.3,219.3981920314447,0.5,0.9,0,B,1.3670892760143774,0.11768186,0.8219229,0.060395233,0.011015326,0.013659775,-0.004493171,0.2026005,0.0,0.49587886258959774,0.3356477,0.11136599583551288,1.0,0.17101632,9.32317062180841e-24,0.43064448833465596,0.03261553,-0.021212378144264223,0.07833928167819978,0.15347505,-0.0709764912724495,0.3527078807353975,0.011920256,-0.031017810106277466,0.0013838022947311405
29,12360,MT-CO1,0.93432015,0.040456977,163.7,216.31101579798369,0.5,0.9,0,M2,2.03122069213636,0.049357906,0.88169944,0.06894262,0.028044885,-0.0056421966,-0.005082202,0.111897185,8.220643872792162e-41,0.294065696001053,0.306991,0.2082675151526928,1.0,0.19596304,6.96207865564736e-17,0.4976667791604998,0.060078446,-0.00022108256816864012,0.1589910849928856,0.17012791,-0.1362496420741081,0.357876890152693,0.015431767,-0.03820904940366745,9.722560644149784e-05
30,4532,COX7A1,0.9330281,0.047279794,209.4,268.95526269871226,0.6,0.8,0,Endothelial,2.527311474876426,0.1986159,0.6472084,0.1541757,0.14885086,-0.04481061,0.01573189,0.29068798,1.1867157094208999e-28,0.7703457459807398,0.3371837,0.04740937789902091,0.9888267084956169,0.19741637,2.773217905316372e-11,0.5400614447891714,0.17496848,0.0,0.4380599677562714,0.03552509,-0.10893638283014298,-0.012278099358081817,0.0701843,-0.11015048325061798,0.11733735352754594
31,19964,RPL15,0.93291616,0.033616405,176.2,187.60881287046902,0.4,0.9,0,B,1.4640730080286277,0.10928307,0.82706916,0.06364777,0.003431803,0.063701384,0.0022833883,0.19249064,0.0,0.489191596955061,0.3346905,0.11194803239777684,1.0,0.19206649,4.1729671379397723e-26,0.47676350921392463,0.026264453,-0.026017250120639802,0.05640540868043902,0.20910825,-0.08206387609243393,0.4526273801922798,0.009917953,-0.006058673560619354,0.023060454428195962
32,20010,RPLP2,0.93084335,0.04804165,213.2,312.05975211309914,0.5,0.9,0,B,1.7790575193305405,0.069171295,0.86802226,0.062806495,-0.004306364,0.095124006,0.0146438,0.13206151,0.0,0.3459806218743325,0.3107304,0.17895973548293115,1.0,0.19240496,1.3854599262088297e-23,0.47505958676338217,0.018036118,-0.04216120690107346,0.015215829014778144,0.21801278,-0.08425454795360565,0.48731325864791875,0.048585765,-0.005240294337272644,0.11847225278615957
33,3665,CD8A,0.9298938,0.0729257,185.6,283.79068969146175,0.6,0.8,0,CD8Tem,2.028231731816478,0.18847692,0.65155274,0.15997034,0.28935766,0.06014393,-0.015478218,0.15809052,4.825423736781946e-13,0.40736804232001306,0.26392898,0.12044003587216139,0.9710002526640893,0.17863065,3.724049689983744e-05,0.520948512852192,0.21862495,0.0,0.5739798426628113,0.16350484,-0.07359583228826523,0.4009816676378251,0.018190257,-0.050837944447994235,-1.0111927986145003e-05
34,8531,H3F3B,0.92784196,0.088427305,364.1,852.2446766562341,0.6,0.9,0,Mast,2.89190810088918,0.032975346,0.82071954,0.14630511,0.028865809,-0.015121883,0.01634242,0.05346511,0.0,0.12191416304558517,0.30819434,0.15334124821711156,0.9998449414968491,0.28950372,9.276844704437553e-38,0.7741915643215181,0.055107217,0.0,0.13479333817958833,0.17828752,-0.2511048883199692,0.3269527211785318,0.04452939,-0.039896950125694275,0.10424074530601504
35,4528,COX6A2,0.9253396,0.061136074,255.8,303.18157375847676,0.4,0.8,0,Oligodendrocyte,3.698751995729342,0.21857934,0.56924903,0.2121716,0.16673473,-0.051997047,0.047431488,0.32385507,4.394604325611292e-30,0.8631180264055731,0.32757625,0.02137314430437982,0.9805293887853622,0.23179649,1.8314937760832707e-11,0.6090650990605355,0.18815221,-4.6193599700927736e-08,0.46124981641769414,0.054876413,-0.15003157556056976,-0.00413805693387985,0.11539888,-0.12333768904209136,0.22920699864625935
36,19963,RPL14,0.924503,0.047502372,245.7,348.1953634256365,0.4,0.9,0,B,1.4399332247882584,0.12187147,0.81863564,0.059492838,0.0039738356,0.012800401,0.0015422463,0.21287496,0.0,0.5362187050282956,0.34068716,0.10240690987557173,1.0,0.17484924,3.1669066361972346e-24,0.4373015224933626,0.031925604,-0.03461997807025909,0.06675419807434085,0.15834405,-0.09085518419742585,0.3613081544637681,0.008642944,-0.008297479152679444,0.018914827704429635
