Method,K,Hits_mean,Hits_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Enrichment_Factor_mean,Enrichment_Factor_std
Logistic regression,10,1.0,0.0,0.10000000000000002,0.0,0.0008445945945945946,0.0,2.1319256756756757,0.0
Logistic regression,20,4.666666666666667,1.5275252316519468,0.2333333333333333,0.07637626158259733,0.003941441441441442,0.0012901395537600903,4.974493243243243,1.6282851308006097
Logistic regression,50,16.666666666666668,0.5773502691896263,0.3333333333333333,0.011547005383792533,0.014076576576576577,0.0004876269165452918,7.106418918918919,0.2461735725487252
Logistic regression,100,33.0,1.7320508075688772,0.33,0.01732050807568873,0.027871621621621625,0.0014628807496358765,7.03535472972973,0.3692603588230867
Logistic regression,200,59.0,1.7320508075688772,0.295,0.008660254037844393,0.049831081081081086,0.0014628807496358783,6.289180743243243,0.18463017941154444
Logistic regression,500,100.66666666666667,4.04145188432738,0.20133333333333334,0.008082903768654741,0.08502252252252251,0.0034133884158170365,4.292277027027027,0.17232150078410763
Network-degree logistic,10,9.333333333333334,1.1547005383792515,0.9333333333333332,0.11547005383792512,0.007882882882882884,0.000975253833090584,19.897972972972976,2.461735725487251
Network-degree logistic,20,16.0,1.0,0.7999999999999999,0.04999999999999993,0.013513513513513514,0.0008445945945945942,17.055405405405406,1.0659628378378383
Network-degree logistic,50,37.333333333333336,1.154700538379251,0.7466666666666667,0.023094010767585042,0.031531531531531536,0.0009752538330905826,15.918378378378378,0.4923471450974504
Network-degree logistic,100,65.0,0.0,0.65,0.0,0.05489864864864865,0.0,13.857516891891892,0.0
Network-degree logistic,200,112.33333333333333,1.5275252316519463,0.5616666666666666,0.007637626158259677,0.09487612612612613,0.0012901395537600867,11.974315878378379,0.16282851308005894
Network-degree logistic,500,236.33333333333334,3.2145502536643145,0.4726666666666666,0.006429100507328648,0.19960585585585586,0.0027149917682975544,10.076902027027026,0.137063644430734
PPI-GAT + nnPU,10,1.3333333333333333,1.1547005383792517,0.13333333333333333,0.11547005383792516,0.0011261261261261261,0.0009752538330905842,2.8425675675675675,2.4617357254872525
PPI-GAT + nnPU,20,4.333333333333333,3.0550504633038935,0.21666666666666665,0.15275252316519464,0.0036599099099099103,0.0025802791075201807,4.619172297297297,3.2565702616012193
PPI-GAT + nnPU,50,8.333333333333334,3.7859388972001824,0.16666666666666666,0.07571877794400364,0.007038288288288288,0.003197583528040695,3.5532094594594597,1.6142680682960644
PPI-GAT + nnPU,100,11.666666666666666,3.5118845842842465,0.11666666666666665,0.03511884584284246,0.009853603603603605,0.002966118736726559,2.487246621621621,0.748707691524518
PPI-GAT + nnPU,200,23.666666666666668,6.027713773341707,0.11833333333333333,0.030138568866708536,0.01998873873873874,0.005090974470727794,2.5227787162162163,0.6425318879505548
PPI-GAT + nnPU,500,64.0,3.605551275463989,0.128,0.007211102550927985,0.05405405405405406,0.0030452291177905304,2.7288648648648652,0.15373534678253734
PPI-GCN + nnPU,10,1.6666666666666667,2.8867513459481287,0.16666666666666666,0.2886751345948129,0.0014076576576576578,0.00243813458272646,3.5532094594594597,6.154339313718131
PPI-GCN + nnPU,20,2.3333333333333335,3.214550253664318,0.11666666666666665,0.16072751268321592,0.001970720720720721,0.002714991768297566,2.4872466216216216,3.426591110768358
PPI-GCN + nnPU,50,5.0,1.7320508075688772,0.09999999999999999,0.034641016151377546,0.004222972972972973,0.0014628807496358761,2.1319256756756757,0.7385207176461757
PPI-GCN + nnPU,100,10.666666666666666,2.5166114784235836,0.10666666666666667,0.025166114784235832,0.009009009009009009,0.002125516451371269,2.2740540540540537,0.5365228626551358
PPI-GCN + nnPU,200,24.666666666666668,6.027713773341708,0.12333333333333334,0.030138568866708543,0.020833333333333332,0.005090974470727794,2.629375,0.6425318879505548
PPI-GCN + nnPU,500,45.333333333333336,9.29157324317757,0.09066666666666667,0.018583146486355142,0.038288288288288286,0.007847612536467544,1.932945945945946,0.3961788712910275
