,B,CD4Tn,CD8Tem,CD8Tcm,CD8Tex,pDC,cDC2,Endothelial,Epithelial,Fibroblasts,Mast,Monocyte,M2,Oligodendrocyte,Plasma
CCDC80,-0.2937172295061772,-0.2933200618355627,-0.2872466143399059,-0.29513328234451797,-0.28620116723770556,-0.28233489788065663,-0.2786432152895324,-0.03758627504965539,-0.12312593794601907,3.604799765493162,-0.28874831852087623,-0.2802114735310388,-0.2831783913869181,-0.29313070147724335,-0.2822221991473524
LUM,-0.2740807699382274,-0.2692102516854431,-0.25730944035795117,-0.2810508133999919,-0.250692693621088,-0.2540358234083479,-0.2535459094465587,-0.2367270721854634,-0.26597310051951645,3.6144953088634417,-0.2530856911173766,-0.25804500837495514,-0.26561460372681367,-0.26203464860383574,-0.23308948247787167
CTSG,-0.268912184460208,-0.2698637191287183,-0.2553045057813145,-0.257613056800193,-0.2624473625270924,-0.2629447208294065,-0.24520985094538922,-0.24933653733115163,-0.2706020237360601,-0.26102254183983187,3.614496622847954,-0.2628348634794546,-0.24342671571647967,-0.27714038219720105,-0.22783815807545366
MFAP2,-0.3783896145604315,-0.3771517459645749,-0.3674801751849923,-0.37320499492084835,-0.35756226285317316,-0.3741467075670563,-0.3590009029931654,0.5988153646836117,-0.06599652170884306,3.4903946163496746,-0.3073933351325643,-0.36119589862512846,-0.3781164682583486,-0.35900801249355896,-0.030563340770601303
FMOD,-0.2938446618692907,-0.2970429745368762,-0.292935916779745,-0.29182245751801206,-0.29555831191451537,-0.2837903556471164,-0.2914246773973149,0.03976969649078633,-0.16180319359830897,3.6005010388704988,-0.2815511457415,-0.2883875957653374,-0.2933487972184293,-0.28098741887364986,-0.2877732285011883
CFP,-0.36796439368289086,-0.3597008785103752,-0.4593679252230553,-0.472610545139251,-0.45049435568302637,2.5460663752249983,0.02601184492626871,-0.29999046115643724,-0.49280268773475155,-0.4843631265954828,-0.5022554552430646,2.3079904481864983,-0.024179916384948732,-0.5023412687320691,-0.46399765425241224
PALMD,-0.29831523685978867,-0.29774334400121305,-0.29252682267633306,-0.29871098392440104,-0.29728885503279356,-0.2967105054298342,-0.29520394248768594,3.5910409820705596,-0.1894948287571022,0.1440453419695845,-0.295357988951054,-0.2965255483173998,-0.29368362147998195,-0.29871098392440104,-0.28481366219815574
MASP1,-0.38420221724192305,-0.38420221724192305,-0.38420221724192305,-0.38420221724192305,-0.36865574246471733,-0.38420221724192305,-0.3766774424690488,1.8743915750118487,-0.32845956345676586,2.9480698824549534,-0.38420221724192305,-0.37513398837281675,-0.37244956104699734,-0.3116696389629962,-0.38420221724192305
CST2,-0.27943391899505726,-0.27943391899505726,-0.27262849681572077,-0.27943391899505726,-0.27943391899505726,-0.19565089037301012,-0.26075364096649367,-0.27943391899505726,-0.21359274594726463,3.6131195313788425,-0.27943391899505726,-0.25791348310847,-0.19802982590047244,-0.27943391899505726,-0.25851301530201065
ACTA2,-0.3328614143858606,-0.26840380091265814,-0.22472632704239923,-0.23598854090848395,-0.1603070546998808,-0.2984139679012633,-0.2527277641656542,-0.17180737305007804,-0.2617450837030718,3.607968872747576,-0.3602078556623135,-0.31667556001491853,-0.16965913070441438,-0.3239128957753292,-0.23053210382125092
TREML1,-0.4287795536067283,-0.48911503106763166,-0.4279307353112861,-0.5170358511865284,-0.4563891873951362,3.1799734294309574,1.3198012121948208,-0.3939080425751502,-0.4681383601506595,-0.31063990615806464,-0.21497661165393134,0.23839845609627355,-0.04317987946313905,-0.5037347914587013,-0.48434514769509424
ISLR,-0.26592817391667395,-0.2649768479974127,-0.2608394825159561,-0.2629348528364519,-0.2616259299126887,-0.2624193402484307,-0.2512186919715133,-0.23659590023905158,-0.25750803225033037,3.6146744478787833,-0.26194404175437086,-0.25259123539581907,-0.26256161286151714,-0.24959008629310203,-0.26394021968546477
APOA2,-0.4102900294219662,-0.4102900294219662,-0.4102900294219662,-0.4102900294219662,1.1539511930141686,-0.4102900294219662,-0.4102900294219662,-0.4102900294219662,3.215866886572331,-0.4102900294219662,-0.4102900294219662,-0.4102900294219662,-0.4102900294219662,-0.4102900294219662,0.5536622734770948
FCER1A,-0.41838586401897626,-0.42421248811442774,-0.40768487870992537,-0.40998729169320863,-0.40835166870050715,2.1317173812434826,-0.31228393112426545,-0.4156392867989912,-0.4190133810408795,-0.4076644276265281,2.735758437358199,-0.016534595965035474,-0.404329304295614,-0.4286702593719467,-0.3947184411413765
