,Mean,Mean,Mean,SD_across_seeds,SD_across_seeds,SD_across_seeds
,STRING,Cell-type similarity,Pathway,STRING,Cell-type similarity,Pathway
Gene_Symbol,,,,,,
CCDC80,0.15927069,-0.06003865,-0.014477551,0.19402298,0.03450548,0.029426506
LUM,0.12230499,-0.024375457,-0.0026992082,0.16817805,0.029947488,0.005156337
CTSG,0.26534078,0.08255497,-0.013900369,0.22601199,0.23852581,0.012419724
MFAP2,0.21823244,0.058311094,-0.025103778,0.22851755,0.2236187,0.018648054
FMOD,0.199725,0.07073081,-0.0276169,0.22567335,0.24062464,0.02112359
CFP,0.24383494,0.0075731995,-0.013056695,0.21432896,0.17618348,0.018280884
PALMD,0.20000295,0.015013817,-0.01882128,0.22486018,0.1758833,0.016054196
MASP1,0.24286608,0.05325315,-0.017019605,0.22647338,0.21066111,0.016421705
CST2,0.26794326,0.12914774,-0.023088027,0.24259445,0.2901722,0.02883535
ACTA2,0.20105343,-0.04749461,-0.016294653,0.20336294,0.08472042,0.040624417
TREML1,0.27147642,0.11612773,-0.026560605,0.24127929,0.27700117,0.025769651
ISLR,0.20617525,-0.010664264,-0.017044425,0.21895795,0.15581875,0.01855604
APOA2,0.2694443,0.12671772,-0.026394015,0.24657185,0.29373485,0.029362986
FCER1A,0.21953018,-0.024309242,-0.012512731,0.20803206,0.15111499,0.028404739
POSTN,0.20186827,-0.015812289,-0.01839431,0.21253628,0.13914715,0.028971974
AMBP,0.25780553,0.10955175,-0.032220088,0.23687325,0.28778103,0.029443333
C4A,0.21532726,0.01606833,-0.012587076,0.20138736,0.17955899,0.028778484
FCN3,0.21214393,0.038449276,-0.024564724,0.21472251,0.21226594,0.021208545
PLAC9,0.16825347,-0.07338105,-0.016472768,0.19699214,0.056575257,0.03505482
LTC4S,0.2034328,-0.06459342,-0.013513851,0.19817953,0.12004799,0.039473914
