Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,FDR_numeric,NES_numeric,Library,Direction,Abs_NES,Cluster_Size,Collapsed_Terms,FDR_for_plot,FDR_reporting_note
prerank,MSigDB_Hallmark_2020::Epithelial Mesenchymal Transition,0.7137517696235293,1.6783511067750072,0.0,0.0033123078413532,0.0835,104/130,16.36%,LUM;FMOD;TPM2;MYL9;BGN;LOX;ACTA2;POSTN;FBN1;TIMP3;MGP;COL12A1;LOXL1;THY1;FBLN5;PLAUR;EFEMP2;FBLN1;COMP;FBLN2;PCOLCE;MFAP5;IGFBP3;SERPINH1;TAGLN;ECM1;FBN2;EMP3;VCAN;FAS;PTX3;COL16A1;ABI3BP;IGFBP4;FSTL1;THBS2;IGFBP2;CAP2;SNAI2;BMP1;P3H1;GPC1;CXCL6;SERPINE2;NNMT;TPM1;SFRP4;NID2;TGM2;DPYSL3;CALD1;WIPF1;TGFBR3;TIMP1;TGFBI;PLOD2;RGS4;DAB2;CAPG;TNFAIP3;FOXC2;FERMT2;PCOLCE2;PLOD1;AREG;GLIPR1;GEM;COLGALT1;SPARC;MYLK;SGCG;CTHRC1;COL8A2;PRRX1;ECM2;MATN3;IL32;MSX1;ADAM12;FUCA1;SLIT2;SAT1;CALU;RHOB;CD59;MXRA5;SLIT3;SGCD;TPM4;TNFRSF11B;WNT5A;QSOX1;MEST;GADD45A;ENO2;ID2;COPA;GADD45B;PRSS2;FZD8;PDLIM4;PPIB;MATN2;CDH11,0.0033123078413532,1.6783511067750072,MSigDB_Hallmark_2020,positive,1.6783511067750072,1,MSigDB_Hallmark_2020::Epithelial Mesenchymal Transition,0.0033123078413532,raw q retained
prerank,MSigDB_Hallmark_2020::Angiogenesis,0.7681991753886344,1.629781462305808,0.0,0.0055702474208943,0.2335,19/22,14.06%,LUM;POSTN;PRG2;VCAN;SLCO2A1;S100A4;VAV2;OLR1;FSTL1;CXCL6;APOH;TIMP1;THBD;JAG1;SERPINA5;MSX1;JAG2;LRPAP1;CCND2,0.0055702474208943,1.629781462305808,MSigDB_Hallmark_2020,positive,1.629781462305808,1,MSigDB_Hallmark_2020::Angiogenesis,0.0055702474208943,raw q retained
prerank,MSigDB_Hallmark_2020::Allograft Rejection,0.7095171154181392,1.6244677084925505,0.0,0.0059982769595525,0.2605,53/68,15.30%,CFP;CD7;HLA-DMA;HLA-DRA;HLA-DOA;THY1;IGSF6;HLA-DMB;HLA-DQA1;TRAT1;CCL7;CCL13;GZMA;FAS;CD8B;GPR65;HLA-DOB;CD1D;LY86;CSK;STAB1;IRF4;C2;SRGN;RIPK2;TLR6;TLR1;TAP2;IL11;NCF4;IRF8;ETS1;CD96;IL12RB1;CD79A;TIMP1;LIF;TAP1;CAPG;ABI1;IL16;BCL3;LY75;IL27RA;TAPBP;BCL10;INHBB;CCND3;CCND2;GBP2;HLA-E;KRT1;HLA-G,0.0059982769595525,1.6244677084925505,MSigDB_Hallmark_2020,positive,1.6244677084925505,1,MSigDB_Hallmark_2020::Allograft Rejection,0.0059982769595525,raw q retained
prerank,MSigDB_Hallmark_2020::Interferon Gamma Response,0.6778584681378087,1.5864011859325076,0.0,0.0087640796469228,0.4745,97/120,20.32%,C1R;CFH;FPR1;HLA-DMA;IFI30;MX2;CIITA;HLA-DQA1;IFI44;RSAD2;IFITM3;CCL7;IFI44L;HERC6;GZMA;USP18;FAS;OASL;OAS2;LYSMD2;IRF4;XAF1;IFIT1;HLA-B;TNFSF10;RIPK2;OAS3;IFI27;XCL1;IRF9;IFIT3;CMKLR1;GBP4;TOR1B;IRF8;ISG20;SP110;FGL2;GCH1;DDX60;SAMD9L;IFIT2;TAP1;ZNFX1;TNFAIP3;NOD1;PARP14;EPSTI1;IRF5;BATF2;RTP4;SAMHD1;SPPL2A;PML;TRIM25;BST2;TNFAIP6;LGALS3BP;PFKP;PARP12;MT2A;PTPN1;RNF31;HELZ2;PLSCR1;DHX58;TAPBP;BANK1;VAMP5;UBE2L6;ADAR;BPGM;TNFAIP2;VAMP8;APOL6;PTPN2;ZBP1;UPP1;IRF2;LATS2;BTG1;HLA-G;IFITM2;TXNIP;RBCK1;P2RY14;IL15RA;PSME2;IL18BP;PSME1;GPR18;TRIM21;SSPN;PELI1;EIF4E3;NMI;NLRC5,0.0087640796469228,1.5864011859325076,MSigDB_Hallmark_2020,positive,1.5864011859325076,2,MSigDB_Hallmark_2020::Interferon Gamma Response | MSigDB_Hallmark_2020::Interferon Alpha Response,0.0087640796469228,raw q retained
prerank,MSigDB_Hallmark_2020::TNF-alpha Signaling via NF-kB,0.6689896672946819,1.5691071854488228,0.0,0.0098577311328424,0.602,112/127,25.13%,PLAUR;EDN1;PTX3;OLR1;SERPINB2;ATF3;CXCL3;RIPK2;CXCL6;NR4A3;FOSL1;SLC2A6;TNFAIP8;TRAF1;NR4A1;RELB;G0S2;GCH1;IER3;PLEK;SPHK1;LIF;IFIT2;TAP1;JAG1;EGR2;TNFAIP3;FOSL2;TRIP10;PFKFB3;AREG;PDLIM5;EGR3;CCRL2;ETS2;GEM;NR4A2;CD83;GFPT2;KLF10;TNFAIP6;MAP2K3;TRIB1;REL;NFKBIE;KLF4;BCL3;PPP1R15A;CEBPD;DUSP5;KYNU;MAFF;ZFP36;LDLR;SAT1;DRAM1;HES1;RHOB;FOSB;TANK;DNAJB4;IRS2;ACKR3;MXD1;TNIP2;NFIL3;PHLDA1;NFAT5;TNFAIP2;DUSP1;GADD45A;F2RL1;NINJ1;ID2;GADD45B;PLK2;LITAF;DUSP2;IER2;ZC3H12A;KDM6B;B4GALT1;BTG1;PHLDA2;JUNB;TNIP1;SLC2A3;PNRC1;EHD1;MSC;IL15RA;FUT4;CCNL1;CFLAR;IER5;KLF2;BHLHE40;GPR183;RNF19B;DUSP4;PER1;KLF6;SNN;FJX1;SGK1;ATP2B1;ZBTB10;EFNA1;TIPARP;BTG2;TGIF1;SERPINB8,0.0098577311328424,1.5691071854488228,MSigDB_Hallmark_2020,positive,1.5691071854488228,1,MSigDB_Hallmark_2020::TNF-alpha Signaling via NF-kB,0.0098577311328424,raw q retained
prerank,MSigDB_Hallmark_2020::Coagulation,0.6749139250023036,1.555129954221896,0.0,0.0108823614247229,0.695,67/80,21.16%,C1R;FBN1;CFH;TIMP3;CFI;PROC;C8B;COMP;C9;C1QA;PRSS23;HRG;C8A;APOC2;CPB2;LGMN;CRIP2;OLR1;SERPINB2;ANG;C8G;BMP1;CTSE;C2;KLK8;MMP10;MMP11;SERPINA1;FURIN;APOC1;CTSB;PLEK;TIMP1;GP9;THBD;CPQ;CTSV;GNG12;ANXA1;GP1BA;LAMP2;MMP15;SPARC;ACOX2;S100A1;CTSH;DUSP6;MAFF;WDR1;DCT;S100A13;HMGCS2;PREP;CAPN5;CTSO;CAPN2;PROZ;TF;ITIH1;MSRB2;MEP1A;RAPGEF3;ARF4;LEFTY2;ISCU;SIRT2;F2RL2,0.0108823614247229,1.555129954221896,MSigDB_Hallmark_2020,positive,1.555129954221896,1,MSigDB_Hallmark_2020::Coagulation,0.0108823614247229,raw q retained
prerank,MSigDB_Hallmark_2020::PI3K/AKT/mTOR  Signaling,0.6829742987477672,1.516186413620128,0.0,0.0149680505695747,0.8955,37/38,29.89%,ACTR2;MAP2K6;GNGT1;CAMK4;GNA14;IRAK4;ACTR3;DDIT3;NOD1;SFN;VAV3;MAP2K3;RALB;ARPC3;ITPR2;SLC2A1;TRIB3;ATF1;FGF22;MAPKAP1;ADCY2;ECSIT;SLA;NFKBIB;AKT1S1;DAPP1;PITX2;TIAM1;PIN1;ARHGDIA;CAB39L;CSNK2B;PLA2G12A;DUSP3;PRKAR2A;THEM4;RIT1,0.0149680505695747,1.516186413620128,MSigDB_Hallmark_2020,positive,1.516186413620128,1,MSigDB_Hallmark_2020::PI3K/AKT/mTOR  Signaling,0.0149680505695747,raw q retained
prerank,MSigDB_Hallmark_2020::IL-6/JAK/STAT3 Signaling,0.6890237167081561,1.4867964272454783,0.0,0.0186666256614284,0.978,23/25,25.47%,CCL7;FAS;HMOX1;CXCL3;IRF9;BAK1;TNFRSF1B;IL12RB1;DNTT;CNTFR;IL1R2;CRLF2;PTPN1;INHBE;PTPN2;REG1A;IL15RA;PDGFC;EBI3;IL9R;TNFRSF21;STAM2;HAX1,0.0186666256614284,1.4867964272454783,MSigDB_Hallmark_2020,positive,1.4867964272454783,1,MSigDB_Hallmark_2020::IL-6/JAK/STAT3 Signaling,0.0186666256614284,raw q retained
prerank,MSigDB_Hallmark_2020::Reactive Oxygen Species Pathway,0.6698762400767405,1.4703177887243777,0.0,0.0211167654516379,0.991,27/32,21.78%,GLRX;MGST1;FTL;MSRA;PFKP;PDLIM1;PRDX1;PRDX2;ATOX1;TXNRD2;GCLC;LSP1;GCLM;PRNP;GPX4;PRDX4;PRDX6;LAMTOR5;JUNB;OXSR1;FES;MBP;HHEX;CAT;HMOX2;IPCEF1;GLRX2,0.0211167654516379,1.4703177887243777,MSigDB_Hallmark_2020,positive,1.4703177887243777,1,MSigDB_Hallmark_2020::Reactive Oxygen Species Pathway,0.0211167654516379,raw q retained
prerank,MSigDB_Hallmark_2020::Oxidative Phosphorylation,0.6220723057138826,1.450574663108971,0.0,0.0259312424465823,0.9985,100/104,35.40%,TCIRG1;COX17;ATP6V1D;NQO2;BAX;ATP6V1E1;ATP6V1C1;ATP6V1H;SLC25A4;VDAC2;MDH1;ATP6V1F;SURF1;COX7A2;SLC25A6;SLC25A5;VDAC3;ETFA;ATP6AP1;PHB2;FDX1;TOMM22;ATP6V0E1;ATP6V0B;POR;PRDX3;IDH3A;COX8A;TIMM17A;FXN;CPT1A;ATP6V0C;COX11;DLD;GPX4;MGST3;TIMM8B;COX15;ACADSB;ATP6V1G1;MPC1;BCKDHA;HADHB;COX7A2L;COX10;TIMM13;TIMM10;ACAA2;IMMT;IDH3B;MTRR;TIMM9;ETFB;ECHS1;MFN2;GRPEL1;IDH3G;DLST;SUCLA2;HCCS;PDHA1;OAT;HSD17B10;ISCU;PMPCA;CYB5A;CYB5R3;SLC25A11;HADHA;DLAT;ACADVL;ACAT1;HTRA2;LDHB;ISCA1;SLC25A3;LRPPRC;ACADM;OGDH;PDP1;TIMM50;ATP1B1;MTX2;DECR1;ALDH6A1;ALAS1;BDH2;RHOT1;ABCB7;PDHX;OPA1;RETSAT;PHYH;SLC25A12;SUPV3L1;ECI1;AFG3L2;RHOT2;ECH1;NNT,0.0259312424465823,1.450574663108971,MSigDB_Hallmark_2020,positive,1.450574663108971,1,MSigDB_Hallmark_2020::Oxidative Phosphorylation,0.0259312424465823,raw q retained
