Gene_Symbol,Score
H3F3B,0.8430592412218771
GNB2L1,0.8368022979906627
ATP5D,0.8257276413171366
ATP5J2,0.8243665707523522
ATP5J,0.8227340119907702
ATP5L,0.8159339412218771
C14ORF2,0.8153540964454274
ATP5O,0.8150998584807745
SEP15,0.808203221221877
ATP5B,0.8065283535933142
C1ORF186,0.803863026536195
H2AFZ,0.7996084724082131
C11ORF31,0.796880521216757
USMG5,0.7962330522746299
SELK,0.794867546988874
C19ORF60,0.7942346825023407
ATP5G2,0.7930172868842503
PCAT19,0.788494826532265
ATP5F1,0.7845290939598192
ISLR,0.7843599292986129
TCEB2,0.784144586257028
SHFM1,0.782262671322234
ATP5E,0.781764112207336
WISP2,0.7791543802866537
CYYR1,0.7789872200093864
C14ORF166,0.776608849044848
ZNF503,0.7699097852876103
TCEB1,0.769000260142166
ZNF706,0.7667824309344413
CTGF,0.7657622076448221
PALMD,0.7656440614679911
ATP5C1,0.7632022399943216
MEG3,0.7630500975605364
TMEM100,0.7627656896128311
RP11-354E11.2,0.7619868295228238
RP11-598F7.3,0.7615273960308473
FAM167B,0.7610687674447648
RCN3,0.760448811221877
RARRES1,0.7596590228157936
TMEM123,0.7586425367506436
FILIP1L,0.7583770305036286
C19ORF43,0.7579843336416259
LINC00493,0.7577521351520395
ATP5G3,0.7574012959142173
TM4SF18,0.7544839737736889
FRY,0.7516409205287173
PLSCR4,0.7513139714207794
ATP5H,0.7512141256251924
SFT2D1,0.7511911630436848
HPCAL1,0.7507606567121647
PRKCDBP,0.7503462969835235
HTRA3,0.7498176544827825
LINC01420,0.7493070792927059
GPR65,0.7485120024050753
ATP5A1,0.7484290494597154
PQLC3,0.7481914992599317
PODN,0.7478073899037273
CTD-3252C9.4,0.747469560707997
ECSCR,0.7473821602052406
LHFP,0.7472772545952413
TMEM160,0.7441960996012886
IFI27L2,0.7437636829016547
APOL3,0.7437395748235265
AEBP1,0.743185254309352
ABRACL,0.7416098489440754
VWA5A,0.7413211078654895
OAF,0.7408857812218772
RP11-160E2.6,0.7404309871877597
ZFAS1,0.740209193804533
VMO1,0.7401838950537519
CSRP2,0.7400190903288321
CYR61,0.7392539852881719
HN1,0.739195934088976
KANK3,0.7390829690948086
SELT,0.7374606838850977
C20ORF24,0.7371088987844959
CHRDL1,0.7357498029308414
AC013461.1,0.7356834218599171
METRNL,0.7354760628875738
MIR3945HG,0.7345933099913329
C19ORF70,0.7345036368647425
RP5-839B4.8,0.732798064733338
SEPT11,0.7307139033182068
SLFN11,0.7291156965625986
TMEM255B,0.7286303886271308
C7ORF73,0.7283206499051293
MYCT1,0.728289225811112
DHRS7,0.7272336428088506
HSD17B11,0.7262011213843782
ARL5A,0.7253568500079071
CECR1,0.7251883472585219
OGFRL1,0.7248444107492569
C19ORF53,0.7246047901654393
ELF1,0.7245629172635082
TMEM173,0.7239256100237232
RP11-386I14.4,0.7234315257301658
TMEM167A,0.7228633713121413
SMOC2,0.7225558933814507
C11ORF96,0.7212743224793334
OLFML2B,0.7212644189563653
FAM49A,0.720327355858269
C10ORF54,0.7198001160070202
GPR146,0.718733381221877
SDPR,0.7178936168650352
MIDN,0.7169949278028669
CCDC85B,0.7152299812218772
ATP5G1,0.713877293081982
LINC00936,0.7138256680719
TMEM47,0.7133112306696243
SHISA5,0.713165775945813
FAM96A,0.7129003834871575
CXORF36,0.7128901189847744
TMEM251,0.7127867070963564
FAM107A,0.7123465666122417
C8ORF59,0.7122407569508533
HOTAIRM1,0.7120397428973186
METTL7A,0.7118800917334425
LYSMD2,0.711260838261685
GLTSCR2,0.7112047148410037
SEPT2,0.7109556936400194
FAM162A,0.7106935271301633
LINC01094,0.7106625418080903
CRIP2,0.7105701874336305
TMEM14B,0.7103449880247039
SELM,0.7102327228025586
RP11-1143G9.4,0.7100517573888863
LHFPL2,0.7098702317127699
