Gene_Symbol,Score
LUM,0.9700983
GNB2L1,0.937148
H3F3B,0.92784196
CTSG,0.9239806
ATP5J,0.92308676
LILRB2,0.9213208
USMG5,0.9204834
C4A,0.91883487
CCDC80,0.9163087
CST2,0.91514826
APOA2,0.9100057
COLEC11,0.9098848
MASP1,0.9089305
C14ORF2,0.90859205
ATP5B,0.907316
ATP5J2,0.9056212
TREML1,0.9046887
ATP5D,0.90418184
CD300LB,0.90336883
CST4,0.90325105
TMEM119,0.90280324
SCARA5,0.9025634
TPSD1,0.9022315
SHFM1,0.9017976
ACAN,0.9014279
FCN2,0.9012454
CAMP,0.90092593
ATP5L,0.90071666
HLA-DQB2,0.90055406
CFP,0.8990509
PRELP,0.8987826
FMOD,0.89828956
RARRES2,0.8981703
CD7,0.8981563
C1R,0.89764273
MS4A10,0.8972748
CD209,0.8970953
GC,0.89595765
MEFV,0.8954503
CD300E,0.8952718
PLAC9,0.8952444
TMEM100,0.895188
ATP5O,0.89421195
ACE2,0.8940651
MYH10,0.8936901
MFAP2,0.89311874
SEP15,0.89298594
PALMD,0.89239514
MFAP4,0.8922963
FCN3,0.8921417
LIM2,0.8918867
S100A12,0.8917921
DES,0.8917645
KIR3DL1,0.8916095
FOLR2,0.8914673
TPM2,0.89111435
KLRC4,0.89092475
ADIPOQ,0.8908246
MNDA,0.89051086
FCAR,0.89037263
MYL9,0.89017695
BGN,0.8897954
FCER1A,0.8895358
PXDNL,0.88953197
LOX,0.8890487
AHNAK2,0.888965
RP11-354E11.2,0.88879997
ACTA2,0.8887499
TCEB1,0.8886363
POSTN,0.8886293
PCAT19,0.88807184
ATP6V1G3,0.8873048
FBN1,0.88730204
CFH,0.88703096
LTF,0.8870117
H2AFZ,0.8857912
C1ORF186,0.8853264
MYLPF,0.8850648
PRTN3,0.8850185
ISLR,0.8839365
NID1,0.8837266
PLSCR4,0.8834278
TIMP3,0.8831774
FPR1,0.88302594
AMBP,0.8824188
MS4A2,0.8821217
MGP,0.882086
RP11-598F7.3,0.88205355
MYL3,0.88120365
CETP,0.8811749
HK3,0.8804656
APOA5,0.880273
ATP5H,0.88020897
CLEC7A,0.8801217
HLA-DMA,0.8799814
CST1,0.879354
FPR2,0.8792206
CFI,0.87898386
HLA-DPA1,0.8789074
MYL10,0.8787004
CPA3,0.87853813
LILRB3,0.87804663
PARVA,0.8772672
OLFML3,0.87722
LTC4S,0.8770587
CDH5,0.8765621
ATP5G3,0.8763609
COL12A1,0.8763035
PYGM,0.8762776
ADIRF,0.8761438
CD93,0.87555915
CFHR1,0.87536985
DNASE1L3,0.87528336
ATP5G2,0.8752631
SLC11A1,0.87505656
PODN,0.8746182
ZNF706,0.87442267
IFI30,0.87363833
NPC2,0.87347376
C11ORF31,0.87336874
HDC,0.8733223
GSTM5,0.8732268
HLA-DQB1,0.87275684
FXYD5,0.87206924
PROC,0.87203896
SELK,0.87200224
WISP2,0.87169087
VMO1,0.8716725
HKDC1,0.8713914
ACTG2,0.87115747
C19ORF60,0.8711527
HLA-DRA,0.8711418
FPR3,0.87110424
C8B,0.87081414
TCEB2,0.870518
LOXL1,0.87020814
PILRA,0.87016344
HLA-DPB1,0.87007886
HLA-DOA,0.8700409
CPA4,0.8699285
MYH11,0.86978066
THY1,0.86961585
GSTA5,0.86948836
MRC2,0.86899567
GATA1,0.8687048
HPX,0.86851627
MX2,0.8684767
IGSF6,0.8683753
FCN1,0.867957
ASPN,0.86791724
GGT5,0.8678938
FKBP10,0.8675296
C3AR1,0.8674647
FBLN5,0.8672735
AIF1,0.8669772
CXCL5,0.86676836
NCF2,0.8667588
SLC7A7,0.86675274
PFN4,0.8666584
PLAUR,0.86646813
CCL26,0.8663624
RNASE2,0.8656642
SLC2A4,0.86551
CTGF,0.86539316
CYYR1,0.865383
C7,0.86510545
KIR2DL4,0.86494863
PTPN22,0.86400825
DCSTAMP,0.86368513
EIF2AK3,0.86368096
COL10A1,0.86346084
CYFIP1,0.8631314
MS4A7,0.86309993
PFN3,0.8630126
ATP6V1C2,0.8630065
LILRA6,0.8629104
ATP5F1,0.8627734
PSAPL1,0.86272144
CHRDL1,0.8625453
CD207,0.86252034
OMD,0.86248004
EFEMP2,0.86237365
ITGA9,0.86223906
FBLN1,0.8619956
ATP6V1B1,0.86189556
SCIN,0.86182976
UQCRHL,0.8617667
CHIT1,0.8617403
SIGLEC1,0.8612838
COMP,0.8612782
MYCT1,0.8608011
CALB1,0.8607445
HLA-DMB,0.86034614
C4B,0.8600747
ATP5E,0.85987175
