Node_ID,Gene_Symbol,Prediction_Score_Mean,STRING_Degree,Removal_Reason
20036,RPS18,0.9653174,356,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
20031,RPS14,0.9617791,318,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
19961,RPL13,0.9594511,240,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
20029,RPS12,0.9586731,249,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
19979,RPL27A,0.95776737,212,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
19983,RPL30,0.9561244,251,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
19984,RPL31,0.9535993,250,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
19968,RPL18A,0.9532197,250,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
20052,RPS3A,0.95283353,297,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
20035,RPS17,0.95237195,267,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
19996,RPL39,0.94899046,186,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
19967,RPL18,0.9464587,252,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
20000,RPL41,0.9460864,68,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
20007,RPL9,0.9459861,287,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
19976,RPL26,0.94420373,261,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
19981,RPL29,0.94323903,203,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
19970,RPL21,0.9425334,242,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
19974,RPL23A,0.9422461,309,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
5746,DCN,0.941271,78,top-5%-STRING-degree
19986,RPL34,0.94125384,230,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
19989,RPL35A,0.94066846,234,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
19978,RPL27,0.9400846,229,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
20042,RPS23,0.9396659,327,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
12362,MT-CO3,0.9382607,105,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
19988,RPL35,0.9368291,275,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
19973,RPL23,0.93440837,312,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
12360,MT-CO1,0.93432015,114,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
4532,COX7A1,0.9330281,80,top-5%-STRING-degree
19964,RPL15,0.93291616,246,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
20010,RPLP2,0.93084335,145,top-5%-STRING-degree
3665,CD8A,0.9298938,251,top-5%-STRING-degree
4528,COX6A2,0.9253396,83,top-5%-STRING-degree
19963,RPL14,0.924503,225,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
12773,NDUFA4,0.9229603,88,top-5%-STRING-degree
20003,RPL7,0.9211712,266,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
8313,GPX6,0.9203418,73,top-5%-STRING-degree
4524,COX4I2,0.9199344,66,top-5%-STRING-degree
3609,CD247,0.9191014,87,top-5%-STRING-degree
23626,UBA52,0.9186193,433,top-5%-STRING-degree
24419,ZAP70,0.918338,87,top-5%-STRING-degree
23834,UQCRQ,0.9179595,105,top-5%-STRING-degree
15278,RAC3,0.9172184,107,top-5%-STRING-degree
12358,MT-ATP6,0.91668594,91,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
12361,MT-CO2,0.91553247,106,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
19957,RPL10A,0.9153932,215,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
9668,ITGAX,0.9126908,120,top-5%-STRING-degree
20030,RPS13,0.91156006,313,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
14749,PRF1,0.91064703,75,top-5%-STRING-degree
3626,CD34,0.9072544,123,top-5%-STRING-degree
5589,CYC1,0.9063759,132,top-5%-STRING-degree
3181,CALML3,0.90514964,233,top-5%-STRING-degree
8312,GPX5,0.90502846,73,top-5%-STRING-degree
23829,UQCRC1,0.9037244,108,top-5%-STRING-degree
9762,JUN,0.90323365,241,top-5%-STRING-degree
3184,CALML5,0.9025086,234,top-5%-STRING-degree
23826,UQCR10,0.9019893,112,top-5%-STRING-degree
23831,UQCRFS1,0.9014532,132,top-5%-STRING-degree
19980,RPL28,0.900574,199,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
10214,KLRD1,0.90047455,70,top-5%-STRING-degree
8315,GPX8,0.9003895,75,top-5%-STRING-degree
6407,EEF1A1,0.90037096,161,top-5%-STRING-degree
3564,CCR7,0.8991996,138,top-5%-STRING-degree
20040,RPS20,0.89821184,288,top-5%-STRING-degree;ribosomal-or-mitochondrial-structural
10231,KNG1,0.8978373,86,top-5%-STRING-degree
5552,CXCL9,0.89666873,97,top-5%-STRING-degree
3519,CCL5,0.89340276,147,top-5%-STRING-degree
23962,VCAM1,0.8928846,92,top-5%-STRING-degree
15146,PXN,0.89088666,94,top-5%-STRING-degree
4694,CSF3,0.8905495,135,top-5%-STRING-degree
24096,WAS,0.88912505,102,top-5%-STRING-degree
23830,UQCRC2,0.8881482,116,top-5%-STRING-degree
4525,COX5A,0.88722247,111,top-5%-STRING-degree
3185,CALML6,0.8868686,221,top-5%-STRING-degree
