Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,FDR_numeric,NES_numeric,Library,Direction,Abs_NES,Cluster_Size,Collapsed_Terms,FDR_for_plot,FDR_reporting_note
prerank,GO_Biological_Process_2021::double-strand break repair via homologous recombination (GO:0000724),-0.7385366658313007,-3.316996446045616,0.0,0.0,0.0,61/90,13.32%,GEN1;GINS2;MCMDC2;RMI1;RPA3;HUS1;HUS1B;RAD51D;LIG3;RPA4;RAD51C;XRCC1;RAD54L;RPA1;MCM2;MCM8;FAN1;RAD54B;POLL;MCM5;MUS81;MMS22L;GINS4;RAD50;ERCC4;MEIOB;RECQL5;ERCC5;SLX4;MCM9;SFR1;WRN;SWSAP1;RPA2;RFWD3;RBBP8;HELQ;SMC6;XRCC3;SPIDR;SMC5;MCM4;MCM6;MCM7;RAD21;CDC45;INO80;NIPBL;BLM;NBN;SWI5;SLX1A;RAD51AP1;TONSL;FEN1;NABP2;ZSWIM7;NSMCE2;RAD52;POLN;MCM3,0.0,-3.316996446045616,GO_Biological_Process_2021,negative,3.316996446045616,25,GO_Biological_Process_2021::double-strand break repair via homologous recombination (GO:0000724) | GO_Biological_Process_2021::double-strand break repair (GO:0006302) | GO_Biological_Process_2021::recombinational repair (GO:0000725) | GO_Biological_Process_2021::DNA repair (GO:0006281) | GO_Biological_Process_2021::DNA metabolic process (GO:0006259) | GO_Biological_Process_2021::DNA replication initiation (GO:0006270) | GO_Biological_Process_2021::telomere maintenance (GO:0000723) | GO_Biological_Process_2021::DNA recombination (GO:0006310) | GO_Biological_Process_2021::telomere organization (GO:0032200) | GO_Biological_Process_2021::DNA strand elongation (GO:0022616) | GO_Biological_Process_2021::DNA strand elongation involved in DNA replication (GO:0006271) | GO_Biological_Process_2021::double-strand break repair via break-induced replication (GO:0000727) | GO_Biological_Process_2021::nuclear DNA replication (GO:0033260) | GO_Biological_Process_2021::resolution of meiotic recombination intermediates (GO:0000712) | GO_Biological_Process_2021::mitotic recombination (GO:0006312) | GO_Biological_Process_2021::DNA unwinding involved in DNA replication (GO:0006268) | GO_Biological_Process_2021::positive regulation of chromosome organization (GO:2001252) | GO_Biological_Process_2021::telomeric loop disassembly (GO:0090657) | GO_Biological_Process_2021::telomere maintenance via telomere trimming (GO:0090737) | GO_Biological_Process_2021::formation of extrachromosomal circular DNA (GO:0001325) | GO_Biological_Process_2021::t-circle formation (GO:0090656) | GO_Biological_Process_2021::negative regulation of telomere maintenance (GO:0032205) | GO_Biological_Process_2021::DNA double-strand break processing (GO:0000729) | GO_Biological_Process_2021::telomere maintenance via recombination (GO:0000722) | GO_Biological_Process_2021::DNA geometric change (GO:0032392),0.0004997501249375312,raw q=0; plot uses floor 1/2001
prerank,GO_Biological_Process_2021::cilium movement (GO:0003341),-0.8684913162113486,-3.2900865475175483,0.0,0.0,0.0,32/40,7.00%,DNAH1;DNAH5;CFAP70;DNAH17;DNAH11;CCDC39;DNAAF5;DNAI1;DNAH7;RSPH4A;DNAI2;CCDC40;DNAH9;DNAAF1;SPEF2;CFAP54;SPAG17;CFAP61;ZBBX;CFAP206;CCDC63;TTC29;TEKT4;DNHD1;GAS8;CABYR;ROPN1L;CFAP53;DNAAF2;SPA17;TEKT1;TEKT2,0.0,-3.2900865475175483,GO_Biological_Process_2021,negative,3.2900865475175483,10,GO_Biological_Process_2021::cilium movement (GO:0003341) | GO_Biological_Process_2021::axonemal dynein complex assembly (GO:0070286) | GO_Biological_Process_2021::cilium-dependent cell motility (GO:0060285) | GO_Biological_Process_2021::outer dynein arm assembly (GO:0036158) | GO_Biological_Process_2021::axoneme assembly (GO:0035082) | GO_Biological_Process_2021::determination of left/right symmetry (GO:0007368) | GO_Biological_Process_2021::epithelial cilium movement involved in extracellular fluid movement (GO:0003351) | GO_Biological_Process_2021::determination of bilateral symmetry (GO:0009855) | GO_Biological_Process_2021::microtubule-based transport (GO:0099111) | GO_Biological_Process_2021::extracellular transport (GO:0006858),0.0004997501249375312,raw q=0; plot uses floor 1/2001
prerank,GO_Biological_Process_2021::DNA replication (GO:0006260),-0.6904388922942075,-3.1183675248796554,0.0,0.0,0.0,61/91,14.42%,DBF4;RFC2;RMI1;RAD9B;RPA3;RFC1;ORC4;ORC6;HUS1;MCMBP;TOP3A;RPA4;GRWD1;TICRR;RAD1;TOPBP1;RAD17;RPA1;RAD9A;MCM2;RHNO1;MCM8;POLL;MCM5;RAD50;TOP1MT;RECQL5;MCM9;WRN;WRNIP1;RPA2;RBBP8;ORC3;KIN;MCM10;ORC2;IGHMBP2;PNKP;MCM4;UPF1;MCM6;MCM7;TIPIN;DONSON;CDC45;CDK2AP1;RFC4;BLM;NBN;CLSPN;KAT7;RFC5;PIF1;RFC3;FEN1;ATRIP;WDHD1;MCM3;POLG;NT5M;RNASEH2A,0.0,-3.1183675248796554,GO_Biological_Process_2021,negative,3.1183675248796554,19,"GO_Biological_Process_2021::DNA replication (GO:0006260) | GO_Biological_Process_2021::DNA-dependent DNA replication (GO:0006261) | GO_Biological_Process_2021::base-excision repair, gap-filling (GO:0006287) | GO_Biological_Process_2021::DNA integrity checkpoint signaling (GO:0031570) | GO_Biological_Process_2021::nucleotide-excision repair, DNA gap filling (GO:0006297) | GO_Biological_Process_2021::DNA damage checkpoint signaling (GO:0000077) | GO_Biological_Process_2021::mitotic DNA damage checkpoint signaling (GO:0044773) | GO_Biological_Process_2021::error-prone translesion synthesis (GO:0042276) | GO_Biological_Process_2021::DNA replication checkpoint signaling (GO:0000076) | GO_Biological_Process_2021::mitotic intra-S DNA damage checkpoint signaling (GO:0031573) | GO_Biological_Process_2021::error-free translesion synthesis (GO:0070987) | GO_Biological_Process_2021::signal transduction in response to DNA damage (GO:0042770) | GO_Biological_Process_2021::pre-replicative complex assembly (GO:0036388) | GO_Biological_Process_2021::mitotic G2/M transition checkpoint (GO:0044818) | GO_Biological_Process_2021::mitotic DNA integrity checkpoint signaling (GO:0044774) | GO_Biological_Process_2021::DNA synthesis involved in DNA repair (GO:0000731) | GO_Biological_Process_2021::regulation of DNA-dependent DNA replication (GO:0090329) | GO_Biological_Process_2021::cellular macromolecule biosynthetic process (GO:0034645) | GO_Biological_Process_2021::mitotic G2 DNA damage checkpoint signaling (GO:0007095)",0.0004997501249375312,raw q=0; plot uses floor 1/2001
prerank,GO_Biological_Process_2021::O-glycan processing (GO:0016266),-0.756940931570456,-3.1019039819756853,0.0,0.0,0.0,33/54,10.83%,MUC12;MUC17;MUC13;MUC21;MUC15;MUC3A;MUC20;GALNT7;GALNT15;GALNT8;C1GALT1C1L;GALNT5;GALNT10;GALNT12;B3GNT2;GCNT3;GALNT2;GALNT14;GALNT9;GCNT4;MUCL1;GALNT6;MUC6;MUC4;GALNT11;A4GNT;C1GALT1;GALNT4;B3GNT4;GALNT1;POMGNT1;C1GALT1C1;POFUT1,0.0,-3.1019039819756853,GO_Biological_Process_2021,negative,3.1019039819756853,4,GO_Biological_Process_2021::O-glycan processing (GO:0016266) | GO_Biological_Process_2021::protein O-linked glycosylation (GO:0006493) | GO_Biological_Process_2021::epithelial structure maintenance (GO:0010669) | GO_Biological_Process_2021::maintenance of gastrointestinal epithelium (GO:0030277),0.0004997501249375312,raw q=0; plot uses floor 1/2001
prerank,GO_Biological_Process_2021::ciliary basal body-plasma membrane docking (GO:0097711),-0.6806333952156446,-3.015202609449827,0.0,0.0,0.0,52/83,17.72%,ALMS1;B9D2;CEP192;CEP76;TCTN1;CEP41;NPHP4;MKS1;KIF24;HAUS4;CEP164;B9D1;TTBK2;TCTN3;CC2D2A;CEP83;C2CD3;MARK4;CEP131;NEDD1;CLASP1;CEP290;CKAP5;CENPJ;CEP89;CEP162;TCTN2;AHI1;CDK5RAP2;CCP110;NDE1;ODF2;CEP70;IQCB1;HAUS2;CEP63;TMEM216;NEK2;CEP250;SDCCAG8;PCM1;HAUS5;SCLT1;AKAP9;TMEM67;PRKAR2B;HAUS6;CEP152;FBF1;TUBG1;CEP135;CETN2,0.0,-3.015202609449827,GO_Biological_Process_2021,negative,3.015202609449827,13,GO_Biological_Process_2021::ciliary basal body-plasma membrane docking (GO:0097711) | GO_Biological_Process_2021::cilium assembly (GO:0060271) | GO_Biological_Process_2021::cilium organization (GO:0044782) | GO_Biological_Process_2021::regulation of cell cycle G2/M phase transition (GO:1902749) | GO_Biological_Process_2021::regulation of mitotic cell cycle phase transition (GO:1901990) | GO_Biological_Process_2021::regulation of G2/M transition of mitotic cell cycle (GO:0010389) | GO_Biological_Process_2021::organelle assembly (GO:0070925) | GO_Biological_Process_2021::cell cycle G2/M phase transition (GO:0044839) | GO_Biological_Process_2021::mitotic cell cycle phase transition (GO:0044772) | GO_Biological_Process_2021::regulation of centriole replication (GO:0046599) | GO_Biological_Process_2021::G2/M transition of mitotic cell cycle (GO:0000086) | GO_Biological_Process_2021::protein localization to centrosome (GO:0071539) | GO_Biological_Process_2021::protein localization to microtubule organizing center (GO:1905508),0.0004997501249375312,raw q=0; plot uses floor 1/2001
prerank,GO_Biological_Process_2021::microtubule cytoskeleton organization involved in mitosis (GO:1902850),-0.6299941429457169,-2.91049903550538,0.0,0.0,0.0,53/111,13.61%,CENPN;CENPK;CENPH;SKA1;NUSAP1;KNTC1;CENPQ;CENPP;CENPL;CENPI;CENPT;KIF4B;STIL;CENPO;KIF4A;NUF2;SPC25;B9D2;ERCC6L;ZWILCH;KIF3B;CENPF;CENPU;CENPC;DLGAP5;AURKC;SKA2;CLASP1;CKAP5;KIF2C;NUP133;BCCIP;BUB3;ITGB3BP;ZW10;NUP37;NDC80;CENPM;KIF18A;NDE1;DSN1;SPC24;TUBG2;CENPE;NUP160;NUP43;RCC2;SETD2;CENPA;TACC3;EFHC1;KIF2A;SPDL1,0.0,-2.91049903550538,GO_Biological_Process_2021,negative,2.91049903550538,15,"GO_Biological_Process_2021::microtubule cytoskeleton organization involved in mitosis (GO:1902850) | GO_Biological_Process_2021::mitotic spindle organization (GO:0007052) | GO_Biological_Process_2021::centromere complex assembly (GO:0034508) | GO_Biological_Process_2021::DNA replication-independent nucleosome assembly (GO:0006336) | GO_Biological_Process_2021::CENP-A containing nucleosome assembly (GO:0034080) | GO_Biological_Process_2021::CENP-A containing chromatin organization (GO:0061641) | GO_Biological_Process_2021::chromatin remodeling at centromere (GO:0031055) | GO_Biological_Process_2021::histone exchange (GO:0043486) | GO_Biological_Process_2021::kinetochore organization (GO:0051383) | GO_Biological_Process_2021::spindle assembly checkpoint signaling (GO:0071173) | GO_Biological_Process_2021::mitotic spindle checkpoint signaling (GO:0071174) | GO_Biological_Process_2021::mitotic spindle assembly checkpoint signaling (GO:0007094) | GO_Biological_Process_2021::negative regulation of mitotic metaphase/anaphase transition (GO:0045841) | GO_Biological_Process_2021::protein localization to chromosome, centromeric region (GO:0071459) | GO_Biological_Process_2021::protein localization to kinetochore (GO:0034501)",0.0004997501249375312,raw q=0; plot uses floor 1/2001
prerank,GO_Biological_Process_2021::smoothened signaling pathway (GO:0007224),-0.7756714716351528,-2.78906800352553,0.0,0.0,0.0,17/31,7.79%,PTCHD1;DISP2;STIL;TMEM17;PKD2L1;IFT27;KIAA0586;DHH;B9D1;TTBK2;TCTN3;CC2D2A;ARL13B;TMEM231;EVC2;STK36;TCTN2,0.0,-2.78906800352553,GO_Biological_Process_2021,negative,2.78906800352553,2,GO_Biological_Process_2021::smoothened signaling pathway (GO:0007224) | GO_Biological_Process_2021::plasma membrane bounded cell projection assembly (GO:0120031),0.0004997501249375312,raw q=0; plot uses floor 1/2001
prerank,GO_Biological_Process_2021::nucleotide-excision repair (GO:0006289),-0.6228851663590244,-2.766457690045149,0.0,0.0,0.0,54/89,20.81%,RFC2;RPA3;RFC1;HUS1;HUS1B;LIG3;RPA4;LIG4;XRCC1;RPA1;FAN1;POLL;UBA52;ERCC4;ERCC5;SLX4;UBC;POLK;CHD1L;RPA2;LIG1;OGG1;GTF2H3;ERCC8;GTF2H1;POLR2C;GTF2H2C;UVSSA;POLR2B;PNKP;XPA;ERCC3;RFC4;ZNF830;XPC;RFC5;MNAT1;GPS1;GTF2H5;RFC3;ISY1;PPIE;DDB2;MMS19;USP45;RNF111;SLC30A9;CETN2;GTF2H2;COPS7B;PCNA;TCEA1;CUL4B;COPS8,0.0,-2.766457690045149,GO_Biological_Process_2021,negative,2.766457690045149,14,"GO_Biological_Process_2021::nucleotide-excision repair (GO:0006289) | GO_Biological_Process_2021::base-excision repair (GO:0006284) | GO_Biological_Process_2021::nucleotide-excision repair, DNA incision (GO:0033683) | GO_Biological_Process_2021::nucleotide-excision repair, DNA incision, 5'-to lesion (GO:0006296) | GO_Biological_Process_2021::transcription-coupled nucleotide-excision repair (GO:0006283) | GO_Biological_Process_2021::nucleotide-excision repair, preincision complex assembly (GO:0006294) | GO_Biological_Process_2021::global genome nucleotide-excision repair (GO:0070911) | GO_Biological_Process_2021::nucleotide-excision repair, DNA incision, 3'-to lesion (GO:0006295) | GO_Biological_Process_2021::nucleotide-excision repair, preincision complex stabilization (GO:0006293) | GO_Biological_Process_2021::nucleotide-excision repair, DNA duplex unwinding (GO:0000717) | GO_Biological_Process_2021::translesion synthesis (GO:0019985) | GO_Biological_Process_2021::postreplication repair (GO:0006301) | GO_Biological_Process_2021::nucleotide-excision repair, DNA damage recognition (GO:0000715) | GO_Biological_Process_2021::nucleic acid phosphodiester bond hydrolysis (GO:0090305)",0.0004997501249375312,raw q=0; plot uses floor 1/2001
prerank,GO_Biological_Process_2021::mitochondrial translation (GO:0032543),-0.5983159699488307,-2.734633374372425,0.0,0.0,0.0,48/102,14.29%,EARS2;TSFM;MTIF2;GFM2;MRPS2;ERAL1;MRPL2;MRPS9;MRPS5;MRPS17;PTCD3;MRPS10;MRPL35;MRPL3;MRRF;MRPL30;GFM1;MRPS12;MRPL24;MRPL19;MRPL49;MRPS11;MRPL4;MRPL48;MRPL45;MRPL13;MRPL1;MRPL36;MRPS27;MRPS18A;MRPL46;MRPL15;LARS2;MRPL39;MRPL22;MRPL37;MRPL53;MTRF1;MRPS14;MRPS23;MRPS28;MRPS26;MRPS22;MRPL44;MRPL10;MRPS31;MTRF1L;NOA1,0.0,-2.734633374372425,GO_Biological_Process_2021,negative,2.734633374372425,6,GO_Biological_Process_2021::mitochondrial translation (GO:0032543) | GO_Biological_Process_2021::mitochondrial translational elongation (GO:0070125) | GO_Biological_Process_2021::mitochondrial translational termination (GO:0070126) | GO_Biological_Process_2021::translational termination (GO:0006415) | GO_Biological_Process_2021::translational elongation (GO:0006414) | GO_Biological_Process_2021::mitochondrial gene expression (GO:0140053),0.0004997501249375312,raw q=0; plot uses floor 1/2001
prerank,GO_Biological_Process_2021::ncRNA metabolic process (GO:0034660),-0.7354705045638951,-2.6635356681037035,0.0,0.0,0.0,21/32,12.97%,MOV10L1;MAEL;TDRD9;TDRD1;TDRD12;HENMT1;TDRKH;BCDIN3D;PIWIL2;PLD6;ZCCHC8;EXD1;TARBP2;XPO5;PIWIL4;PARN;DGCR8;KHSRP;FKBP6;NIFK;DROSHA,0.0,-2.6635356681037035,GO_Biological_Process_2021,negative,2.6635356681037035,3,GO_Biological_Process_2021::ncRNA metabolic process (GO:0034660) | GO_Biological_Process_2021::piRNA metabolic process (GO:0034587) | GO_Biological_Process_2021::miRNA metabolic process (GO:0010586),0.0004997501249375312,raw q=0; plot uses floor 1/2001
