Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,FDR_numeric,NES_numeric,Library,Direction,Abs_NES,Cluster_Size,Collapsed_Terms,FDR_for_plot,FDR_reporting_note
prerank,GO_Biological_Process_2021::regulation of complement activation (GO:0030449),0.8783006583458628,1.9319841096595416,0.0,0.0,0.0,32/33,12.17%,C4A;CFP;C1R;CFH;CFI;CFHR1;C8B;C3AR1;C7;C4B;C9;C1QC;C1QB;C1QA;C5;C8A;CPB2;C8G;CR2;C4BPA;C6;C2;CD46;C4BPB;C5AR2;PHB;CD55;C1QBP;CD81;PHB2;CD59;CR1L,0.0,1.9319841096595416,GO_Biological_Process_2021,positive,1.9319841096595416,3,GO_Biological_Process_2021::regulation of complement activation (GO:0030449) | GO_Biological_Process_2021::regulation of humoral immune response (GO:0002920) | GO_Biological_Process_2021::regulation of immune effector process (GO:0002697),0.0004997501249375312,raw q=0; plot uses floor 1/2001
prerank,GO_Biological_Process_2021::phagosome acidification (GO:0090383),0.8479354466048653,1.8386446384955035,0.0,0.0,0.0,27/28,13.17%,ATP6V1G3;ATP6V1C2;ATP6V1B1;ATP6V0A4;ATP6V0A2;ATP6V1E2;ATP6V0D2;TCIRG1;ATP6V1D;ATP6V1B2;ATP6V1A;ATP6V1E1;RAB20;ATP6V1C1;ATP6V1G2;ATP6V1H;RAB7A;ATP6V1F;ATP6V0D1;ATP6V0A1;ATP6V0E2;ATP6V0E1;ATP6V0B;RAB38;SLAMF8;ATP6V0C;ATP6V1G1,0.0,1.8386446384955035,GO_Biological_Process_2021,positive,1.8386446384955035,11,GO_Biological_Process_2021::phagosome acidification (GO:0090383) | GO_Biological_Process_2021::intracellular pH reduction (GO:0051452) | GO_Biological_Process_2021::iron ion transport (GO:0006826) | GO_Biological_Process_2021::transferrin transport (GO:0033572) | GO_Biological_Process_2021::phagosome maturation (GO:0090382) | GO_Biological_Process_2021::cellular response to amino acid starvation (GO:0034198) | GO_Biological_Process_2021::insulin receptor signaling pathway (GO:0008286) | GO_Biological_Process_2021::response to amino acid starvation (GO:1990928) | GO_Biological_Process_2021::transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169) | GO_Biological_Process_2021::regulation of macroautophagy (GO:0016241) | GO_Biological_Process_2021::cellular response to insulin stimulus (GO:0032869),0.0004997501249375312,raw q=0; plot uses floor 1/2001
prerank,GO_Biological_Process_2021::keratan sulfate catabolic process (GO:0042340),0.9027668330268802,1.8034511506186308,0.0,0.0001671074226268,0.001,12/12,9.77%,LUM;ACAN;PRELP;FMOD;OMD;OGN;GLB1;KERA;HEXB;GNS;HEXA;GALNS,0.0001671074226268,1.8034511506186308,GO_Biological_Process_2021,positive,1.8034511506186308,4,GO_Biological_Process_2021::keratan sulfate catabolic process (GO:0042340) | GO_Biological_Process_2021::glycosaminoglycan catabolic process (GO:0006027) | GO_Biological_Process_2021::sulfur compound catabolic process (GO:0044273) | GO_Biological_Process_2021::sulfur compound biosynthetic process (GO:0044272),0.0004997501249375312,raw q retained
prerank,GO_Biological_Process_2021::monocyte chemotaxis (GO:0002548),0.8557346609244215,1.8035882416164493,0.0,0.0002005289071521,0.001,18/20,8.20%,S100A12;FOLR2;CCL26;CCL7;CCL13;CCL8;CCL25;CCL16;XCL2;TNFRSF11A;CCL1;XCL1;CCL15;CCL18;CCL14;ANXA1;CCL24;CCL23,0.0002005289071521,1.8035882416164493,GO_Biological_Process_2021,positive,1.8035882416164493,20,GO_Biological_Process_2021::monocyte chemotaxis (GO:0002548) | GO_Biological_Process_2021::neutrophil migration (GO:1990266) | GO_Biological_Process_2021::neutrophil chemotaxis (GO:0030593) | GO_Biological_Process_2021::granulocyte chemotaxis (GO:0071621) | GO_Biological_Process_2021::lymphocyte migration (GO:0072676) | GO_Biological_Process_2021::response to interferon-gamma (GO:0034341) | GO_Biological_Process_2021::inflammatory response (GO:0006954) | GO_Biological_Process_2021::cellular response to interferon-gamma (GO:0071346) | GO_Biological_Process_2021::cytokine-mediated signaling pathway (GO:0019221) | GO_Biological_Process_2021::cellular response to interleukin-1 (GO:0071347) | GO_Biological_Process_2021::cellular response to chemokine (GO:1990869) | GO_Biological_Process_2021::response to interleukin-1 (GO:0070555) | GO_Biological_Process_2021::lymphocyte chemotaxis (GO:0048247) | GO_Biological_Process_2021::positive regulation of ERK1 and ERK2 cascade (GO:0070374) | GO_Biological_Process_2021::cellular response to cytokine stimulus (GO:0071345) | GO_Biological_Process_2021::chemokine-mediated signaling pathway (GO:0070098) | GO_Biological_Process_2021::cellular response to tumor necrosis factor (GO:0071356) | GO_Biological_Process_2021::positive regulation of MAPK cascade (GO:0043410) | GO_Biological_Process_2021::regulation of ERK1 and ERK2 cascade (GO:0070372) | GO_Biological_Process_2021::response to tumor necrosis factor (GO:0034612),0.0004997501249375312,raw q retained
prerank,GO_Biological_Process_2021::muscle filament sliding (GO:0030049),0.8299754730203222,1.7707203560044409,0.0,0.0003190232613784,0.0035,22/22,17.08%,DES;TPM2;MYL3;ACTC1;NEB;TNNT3;TNNI1;TPM1;MYL4;TNNC2;MYBPC2;MYH3;ACTN3;MYL6B;TNNT1;MYL6;MYBPC1;TCAP;ACTN2;TPM4;TMOD1;MYBPC3,0.0003190232613784,1.7707203560044409,GO_Biological_Process_2021,positive,1.7707203560044409,4,GO_Biological_Process_2021::muscle filament sliding (GO:0030049) | GO_Biological_Process_2021::actin-myosin filament sliding (GO:0033275) | GO_Biological_Process_2021::skeletal muscle contraction (GO:0003009) | GO_Biological_Process_2021::muscle contraction (GO:0006936),0.0004997501249375312,raw q retained
prerank,GO_Biological_Process_2021::Fc receptor mediated stimulatory signaling pathway (GO:0002431),0.8045734017972261,1.7725186007678249,0.0,0.0003342148452536,0.003,32/34,15.66%,CYFIP1;CYFIP2;NCKAP1;FCGR2A;NCKAP1L;VAV2;ACTR2;NR4A3;BAIAP2;MYO1C;PAK1;WIPF1;ACTR3;BRK1;ABI1;WASF2;ARPC2;DOCK1;MYO1G;WIPF3;ELMO1;VAV3;PLA2G6;ARPC1B;ARPC3;LIMK1;ARPC5;NCKIPSD;ARPC1A;WIPF2;ARPC4;ELMO2,0.0003342148452536,1.7725186007678249,GO_Biological_Process_2021,positive,1.7725186007678249,5,GO_Biological_Process_2021::Fc receptor mediated stimulatory signaling pathway (GO:0002431) | GO_Biological_Process_2021::Fc-gamma receptor signaling pathway (GO:0038094) | GO_Biological_Process_2021::Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096) | GO_Biological_Process_2021::positive regulation of lamellipodium assembly (GO:0010592) | GO_Biological_Process_2021::Arp2/3 complex-mediated actin nucleation (GO:0034314),0.0004997501249375312,raw q retained
prerank,GO_Biological_Process_2021::myeloid dendritic cell activation (GO:0001773),0.8999255789519766,1.7779676688384585,0.0,0.0003580873342003,0.0025,11/11,10.05%,DCSTAMP;BATF;TGFBR2;PYCARD;CAMK4;BATF3;BATF2;DHRS2;SLAMF1;UBD;DOCK2,0.0003580873342003,1.7779676688384585,GO_Biological_Process_2021,positive,1.7779676688384585,3,GO_Biological_Process_2021::myeloid dendritic cell activation (GO:0001773) | GO_Biological_Process_2021::dendritic cell differentiation (GO:0097028) | GO_Biological_Process_2021::myeloid leukocyte differentiation (GO:0002573),0.0004997501249375312,raw q retained
prerank,GO_Biological_Process_2021::defense response to fungus (GO:0050832),0.8618092743406491,1.7743783730030764,0.0,0.0003759917009103,0.003,15/16,10.77%,RARRES2;S100A12;LTF;CLEC7A;CLEC4D;DEFA4;HRG;CLEC4E;S100A8;CLEC6A;CARD9;S100A9;IL36RN;RNASE7;BCL10,0.0003759917009103,1.7743783730030764,GO_Biological_Process_2021,positive,1.7743783730030764,2,GO_Biological_Process_2021::defense response to fungus (GO:0050832) | GO_Biological_Process_2021::innate immune response (GO:0045087),0.0004997501249375312,raw q retained
prerank,GO_Biological_Process_2021::type I interferon signaling pathway (GO:0060337),0.7972856128040823,1.7598667145234843,0.0,0.0005639875513655,0.008,33/35,16.84%,MX2;RSAD2;IFITM3;OAS1;RNASEL;OASL;HLA-C;OAS2;IRF4;XAF1;IFITM1;IFIT1;HLA-B;OAS3;IFI27;IRF9;IFIT3;IRF8;ISG20;IFIT2;HLA-F;IRF5;SAMHD1;IFIT5;BST2;IFI6;ADAR;IRF2;GBP2;HLA-E;HLA-G;IFITM2;SP100,0.0005639875513655,1.7598667145234843,GO_Biological_Process_2021,positive,1.7598667145234843,4,GO_Biological_Process_2021::type I interferon signaling pathway (GO:0060337) | GO_Biological_Process_2021::cellular response to type I interferon (GO:0071357) | GO_Biological_Process_2021::defense response to symbiont (GO:0140546) | GO_Biological_Process_2021::defense response to virus (GO:0051607),0.0005639875513655,raw q retained
prerank,GO_Biological_Process_2021::fructose 6-phosphate metabolic process (GO:0006002),0.8969970232883909,1.743764278533873,0.0,0.0010026445357609,0.016,10/10,10.34%,HK3;FBP2;PFKM;HK2;FBP1;HK1;GFPT2;PFKL;PFKP;GFPT1,0.0010026445357609,1.743764278533873,GO_Biological_Process_2021,positive,1.743764278533873,7,GO_Biological_Process_2021::fructose 6-phosphate metabolic process (GO:0006002) | GO_Biological_Process_2021::glycolytic process (GO:0006096) | GO_Biological_Process_2021::glycolytic process through glucose-6-phosphate (GO:0061620) | GO_Biological_Process_2021::canonical glycolysis (GO:0061621) | GO_Biological_Process_2021::glucose catabolic process to pyruvate (GO:0061718) | GO_Biological_Process_2021::carbohydrate catabolic process (GO:0016052) | GO_Biological_Process_2021::pyruvate metabolic process (GO:0006090),0.0010026445357609,raw q retained
