Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Biological_Process_2021::SRP-dependent cotranslational protein targeting to membrane (GO:0006614),0.8372379221532018,1.9511375869588112,0.0,0.0,0.0,42/52,4.47%,RPS18;RPS14;RPL13;RPS12;RPL27A;RPL30;RPL31;RPL18A;RPS3A;RPS17;RPL39;RPL18;RPL41;RPL9;RPL26;RPL29;RPL21;RPL23A;RPL34;RPL35A;RPL27;RPS23;RPL35;RPL23;RPL15;RPLP2;RPL14;RPL7;UBA52;RPL10A;RPS13;RPL28;RPS20;RPL24;RPL36;RPL7A;RPS21;RPS9;RPL37A;RPS29;RPS10;SEC61B
prerank,GO_Biological_Process_2021::regulation of complement activation (GO:0030449),0.8620200231752484,1.943622861776381,0.0,0.0,0.0,33/34,13.80%,C4A;CFP;C1R;CFH;CFI;CFHR1;C8B;C3AR1;C7;C4B;VTN;C9;C1QC;C1QB;C1QA;C5;C8A;CPB2;C8G;CR2;C4BPA;C6;C2;CD46;C4BPB;C5AR2;PHB;CD55;C1QBP;CD81;PHB2;CD59;CR1L
prerank,GO_Biological_Process_2021::regulation of humoral immune response (GO:0002920),0.8505486777336766,1.9303775137877064,0.0,0.0,0.0,35/37,13.80%,C4A;CCR7;CFP;C1R;CFH;CFI;CFHR1;CXCL13;C8B;C3AR1;C7;C4B;VTN;C9;C1QC;C1QB;C1QA;C5;C8A;CPB2;C8G;CR2;C4BPA;C6;C2;CD46;C4BPB;C5AR2;GATA6;CD55;C1QBP;CD81;PHB2;CD59;CR1L
prerank,GO_Biological_Process_2021::monocyte chemotaxis (GO:0002548),0.8609859389193091,1.924536426914146,0.0,0.0,0.0,26/28,9.59%,CCL5;S100A12;FOLR2;CCL21;CCL22;CCL19;CCL26;CCL7;CCL13;CCL8;CCL17;CCL25;CCL16;XCL2;TNFRSF11A;CCL1;XCL1;CCL20;CCL15;CCL18;CCL3;CCL14;ANXA1;CCL24;CCL4;CCL23
prerank,GO_Biological_Process_2021::regulation of immune effector process (GO:0002697),0.8463759508546377,1.914299328073673,0.0,0.0,0.0,34/36,13.80%,C4A;CFP;C1R;CFH;CFI;CFHR1;HLA-DRA;C8B;C3AR1;C7;C4B;VTN;C9;C1QC;C1QB;C1QA;C5;C8A;CPB2;C8G;CR2;C4BPA;C6;IRF4;C2;CD46;C4BPB;C5AR2;CD55;C1QBP;CD81;PHB2;CD59;CR1L
prerank,"GO_Biological_Process_2021::mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)",0.9235521936196096,1.8862102034732988,0.0,0.0,0.0,11/12,3.04%,UQCRQ;CYC1;UQCRC1;UQCR10;UQCRFS1;UQCRC2;UQCRHL;UQCR11;CYCS;UQCRH;UQCRB
prerank,GO_Biological_Process_2021::lymphocyte migration (GO:0072676),0.8245062123420364,1.8668049175022596,0.0,0.0001432331892105,0.0005,30/33,12.25%,ZAP70;CCL5;CCL21;CCL22;CCL19;CCL26;CCL7;CCL13;CCL8;TBX21;CCL17;CCR6;SAA1;CCL25;CCL16;XCL2;CCL1;XCL1;CCL20;CCL15;GATA3;CCL18;CCL3;CCL14;MYO1G;CCL24;CCL4;CCL23;MSN;CKLF
prerank,GO_Biological_Process_2021::phagosome acidification (GO:0090383),0.8311374401992065,1.8561541691596368,0.0,0.0001879935608389,0.001,27/28,14.84%,ATP6V1G3;ATP6V1C2;ATP6V1B1;ATP6V0A4;ATP6V0A2;ATP6V1E2;ATP6V0D2;TCIRG1;ATP6V1D;ATP6V1B2;ATP6V1A;ATP6V1E1;RAB20;ATP6V1C1;ATP6V1G2;ATP6V1H;RAB7A;ATP6V1F;ATP6V0D1;ATP6V0A1;ATP6V0E2;ATP6V0E1;ATP6V0B;RAB38;SLAMF8;ATP6V0C;ATP6V1G1
prerank,GO_Biological_Process_2021::neutrophil migration (GO:1990266),0.791247747285754,1.8555269988039893,0.0,0.0001671053874123,0.001,49/56,13.27%,CXCL9;CCL5;S100A12;PRTN3;CCL21;CXCL1;CCL22;CXCL13;CCL19;CXCL5;FCER1G;CCL26;CCL7;EDN1;CCL13;CCL8;CXCL11;CCL17;PF4V1;NCKAP1L;S100A8;PECAM1;SAA1;CCL25;PF4;CCL16;XCL2;CXCL3;CXCL6;CCL1;XCL1;CCL20;CCL15;GP2;CCL18;CCL3;CXCL2;PLA2G1B;IRAK4;PPBP;CCL14;CCL24;S100A9;CCL4;CCL23;CD177;PIP5K1C;CKLF;EDN3
prerank,GO_Biological_Process_2021::Fc receptor mediated stimulatory signaling pathway (GO:0002431),0.7992346671100594,1.8529182387728875,0.0,0.0001503948486711,0.001,46/48,17.48%,CD247;WAS;FCER1G;CYFIP1;CYFIP2;NCKAP1;FCGR2A;NCKAP1L;PLCG2;VAV2;WASL;VAV1;ACTR2;ACTB;NR4A3;BAIAP2;NCK1;MYO1C;PAK1;CRK;PLCG1;WIPF1;CDC42;ACTR3;BRK1;ABI1;WASF2;ARPC2;DOCK1;MYO1G;WIPF3;RAC1;ELMO1;VAV3;ACTG1;PLA2G6;PLD2;ARPC1B;ARPC3;LIMK1;ARPC5;NCKIPSD;ARPC1A;WIPF2;ARPC4;ELMO2
prerank,GO_Biological_Process_2021::Fc-gamma receptor signaling pathway (GO:0038094),0.7985717362906485,1.84936573574861,0.0,0.000136722589701,0.001,45/47,17.48%,CD247;WAS;FCER1G;CYFIP1;CYFIP2;NCKAP1;FCGR2A;NCKAP1L;PLCG2;VAV2;WASL;VAV1;ACTR2;ACTB;BAIAP2;NCK1;MYO1C;PAK1;CRK;PLCG1;WIPF1;CDC42;ACTR3;BRK1;ABI1;WASF2;ARPC2;DOCK1;MYO1G;WIPF3;RAC1;ELMO1;VAV3;ACTG1;PLA2G6;PLD2;ARPC1B;ARPC3;LIMK1;ARPC5;NCKIPSD;ARPC1A;WIPF2;ARPC4;ELMO2
prerank,GO_Biological_Process_2021::Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096),0.7978234470744447,1.8452306756806849,0.0,0.0001253290405592,0.001,44/46,17.48%,CD247;WAS;CYFIP1;CYFIP2;NCKAP1;FCGR2A;NCKAP1L;PLCG2;VAV2;WASL;VAV1;ACTR2;ACTB;BAIAP2;NCK1;MYO1C;PAK1;CRK;PLCG1;WIPF1;CDC42;ACTR3;BRK1;ABI1;WASF2;ARPC2;DOCK1;MYO1G;WIPF3;RAC1;ELMO1;VAV3;ACTG1;PLA2G6;PLD2;ARPC1B;ARPC3;LIMK1;ARPC5;NCKIPSD;ARPC1A;WIPF2;ARPC4;ELMO2
prerank,GO_Biological_Process_2021::neutrophil chemotaxis (GO:0030593),0.7838222704248675,1.825632988357383,0.0,0.0001542511268421,0.0015,44/50,13.27%,CXCL9;CCL5;S100A12;CCL21;CXCL1;CCL22;CXCL13;CCL19;CXCL5;FCER1G;CCL26;CCL7;EDN1;CCL13;CCL8;CXCL11;CCL17;PF4V1;NCKAP1L;S100A8;SAA1;CCL25;PF4;CCL16;XCL2;CXCL3;CXCL6;CCL1;XCL1;CCL20;CCL15;CCL18;CCL3;CXCL2;PLA2G1B;PPBP;CCL14;CCL24;S100A9;CCL4;CCL23;PIP5K1C;CKLF;EDN3
prerank,GO_Biological_Process_2021::granulocyte chemotaxis (GO:0071621),0.7808077187129776,1.824632579921003,0.0,0.0001432331892105,0.0015,46/53,13.27%,CXCL9;CCL5;S100A12;CCL21;CXCL1;CCL22;CXCL13;CCL19;CXCL5;FCER1G;CCL26;CCL7;EDN1;CCL13;CCL8;CXCL11;CCL17;PF4V1;NCKAP1L;S100A8;SAA1;CCL25;PF4;CCL16;XCL2;CXCL3;CXCL6;CCL1;XCL1;CCL20;CCL15;CCL18;CCL3;CXCL2;PLA2G1B;PPBP;CCL14;ANXA1;ADGRE2;CCL24;S100A9;CCL4;CCL23;PIP5K1C;CKLF;EDN3
prerank,GO_Biological_Process_2021::defense response to fungus (GO:0050832),0.8512649152973717,1.818340365273985,0.0,0.0001671053874123,0.002,18/19,12.33%,RARRES2;S100A12;LTF;CLEC7A;CX3CR1;CLEC4D;DEFA4;HRG;CLEC4E;PLCG2;S100A8;CLEC6A;CARD9;S100A9;IL36RN;RNASE7;GAPDH;BCL10
