Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Biological_Process_2021::regulation of complement activation (GO:0030449),0.8783006583458628,1.9319841096595416,0.0,0.0,0.0,32/33,12.17%,C4A;CFP;C1R;CFH;CFI;CFHR1;C8B;C3AR1;C7;C4B;C9;C1QC;C1QB;C1QA;C5;C8A;CPB2;C8G;CR2;C4BPA;C6;C2;CD46;C4BPB;C5AR2;PHB;CD55;C1QBP;CD81;PHB2;CD59;CR1L
prerank,GO_Biological_Process_2021::regulation of humoral immune response (GO:0002920),0.8655354818564158,1.9060822460737574,0.0,0.0,0.0,32/34,12.17%,C4A;CFP;C1R;CFH;CFI;CFHR1;C8B;C3AR1;C7;C4B;C9;C1QC;C1QB;C1QA;C5;C8A;CPB2;C8G;CR2;C4BPA;C6;C2;CD46;C4BPB;C5AR2;GATA6;CD55;C1QBP;CD81;PHB2;CD59;CR1L
prerank,GO_Biological_Process_2021::regulation of immune effector process (GO:0002697),0.8621750941346592,1.9031899239316319,0.0,0.0,0.0,33/35,12.17%,C4A;CFP;C1R;CFH;CFI;CFHR1;HLA-DRA;C8B;C3AR1;C7;C4B;C9;C1QC;C1QB;C1QA;C5;C8A;CPB2;C8G;CR2;C4BPA;C6;IRF4;C2;CD46;C4BPB;C5AR2;CD55;C1QBP;CD81;PHB2;CD59;CR1L
prerank,GO_Biological_Process_2021::phagosome acidification (GO:0090383),0.8479354466048653,1.8386446384955033,0.0,0.0,0.0,27/28,13.17%,ATP6V1G3;ATP6V1C2;ATP6V1B1;ATP6V0A4;ATP6V0A2;ATP6V1E2;ATP6V0D2;TCIRG1;ATP6V1D;ATP6V1B2;ATP6V1A;ATP6V1E1;RAB20;ATP6V1C1;ATP6V1G2;ATP6V1H;RAB7A;ATP6V1F;ATP6V0D1;ATP6V0A1;ATP6V0E2;ATP6V0E1;ATP6V0B;RAB38;SLAMF8;ATP6V0C;ATP6V1G1
prerank,GO_Biological_Process_2021::monocyte chemotaxis (GO:0002548),0.8557346609244215,1.8035882416164493,0.0,0.0002005289071521977,0.001,18/20,8.20%,S100A12;FOLR2;CCL26;CCL7;CCL13;CCL8;CCL25;CCL16;XCL2;TNFRSF11A;CCL1;XCL1;CCL15;CCL18;CCL14;ANXA1;CCL24;CCL23
prerank,GO_Biological_Process_2021::keratan sulfate catabolic process (GO:0042340),0.9027668330268802,1.8034511506186308,0.0,0.0001671074226268314,0.001,12/12,9.77%,LUM;ACAN;PRELP;FMOD;OMD;OGN;GLB1;KERA;HEXB;GNS;HEXA;GALNS
prerank,GO_Biological_Process_2021::myeloid dendritic cell activation (GO:0001773),0.8999255789519766,1.7779676688384585,0.0,0.00035808733420035304,0.0025,11/11,10.05%,DCSTAMP;BATF;TGFBR2;PYCARD;CAMK4;BATF3;BATF2;DHRS2;SLAMF1;UBD;DOCK2
prerank,GO_Biological_Process_2021::defense response to fungus (GO:0050832),0.8618092743406491,1.7743783730030764,0.0,0.00037599170091037065,0.003,15/16,10.77%,RARRES2;S100A12;LTF;CLEC7A;CLEC4D;DEFA4;HRG;CLEC4E;S100A8;CLEC6A;CARD9;S100A9;IL36RN;RNASE7;BCL10
prerank,GO_Biological_Process_2021::Fc receptor mediated stimulatory signaling pathway (GO:0002431),0.8045734017972261,1.7725186007678249,0.0,0.0003342148452536628,0.003,32/34,15.66%,CYFIP1;CYFIP2;NCKAP1;FCGR2A;NCKAP1L;VAV2;ACTR2;NR4A3;BAIAP2;MYO1C;PAK1;WIPF1;ACTR3;BRK1;ABI1;WASF2;ARPC2;DOCK1;MYO1G;WIPF3;ELMO1;VAV3;PLA2G6;ARPC1B;ARPC3;LIMK1;ARPC5;NCKIPSD;ARPC1A;WIPF2;ARPC4;ELMO2
prerank,GO_Biological_Process_2021::muscle filament sliding (GO:0030049),0.8299754730203222,1.7707203560044407,0.0,0.0003190232613784963,0.0035,22/22,17.08%,DES;TPM2;MYL3;ACTC1;NEB;TNNT3;TNNI1;TPM1;MYL4;TNNC2;MYBPC2;MYH3;ACTN3;MYL6B;TNNT1;MYL6;MYBPC1;TCAP;ACTN2;TPM4;TMOD1;MYBPC3
prerank,GO_Biological_Process_2021::actin-myosin filament sliding (GO:0033275),0.8299754730203222,1.7707203560044407,0.0,0.0003190232613784963,0.0035,22/22,17.08%,DES;TPM2;MYL3;ACTC1;NEB;TNNT3;TNNI1;TPM1;MYL4;TNNC2;MYBPC2;MYH3;ACTN3;MYL6B;TNNT1;MYL6;MYBPC1;TCAP;ACTN2;TPM4;TMOD1;MYBPC3
prerank,GO_Biological_Process_2021::Fc-gamma receptor signaling pathway (GO:0038094),0.8031947940147589,1.7657541934791374,0.0,0.0005013222678804942,0.0055,31/33,15.66%,CYFIP1;CYFIP2;NCKAP1;FCGR2A;NCKAP1L;VAV2;ACTR2;BAIAP2;MYO1C;PAK1;WIPF1;ACTR3;BRK1;ABI1;WASF2;ARPC2;DOCK1;MYO1G;WIPF3;ELMO1;VAV3;PLA2G6;ARPC1B;ARPC3;LIMK1;ARPC5;NCKIPSD;ARPC1A;WIPF2;ARPC4;ELMO2
prerank,GO_Biological_Process_2021::Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096),0.8031947940147589,1.7657541934791374,0.0,0.0005013222678804942,0.0055,31/33,15.66%,CYFIP1;CYFIP2;NCKAP1;FCGR2A;NCKAP1L;VAV2;ACTR2;BAIAP2;MYO1C;PAK1;WIPF1;ACTR3;BRK1;ABI1;WASF2;ARPC2;DOCK1;MYO1G;WIPF3;ELMO1;VAV3;PLA2G6;ARPC1B;ARPC3;LIMK1;ARPC5;NCKIPSD;ARPC1A;WIPF2;ARPC4;ELMO2
prerank,GO_Biological_Process_2021::neutrophil migration (GO:1990266),0.7926339041146682,1.7599498111770617,0.0,0.0006445572015606355,0.008,36/39,17.22%,S100A12;PRTN3;CXCL5;CCL26;CCL7;EDN1;CCL13;CCL8;PF4V1;NCKAP1L;S100A8;SAA1;CCL25;CCL16;XCL2;CXCL3;CXCL6;CCL1;XCL1;CCL15;GP2;CCL18;PLA2G1B;IRAK4;PPBP;CCL14;CCL24;S100A9;CCL23;CD177;PIP5K1C;CKLF;EDN3;EDN2;PPIB;JAML
prerank,GO_Biological_Process_2021::type I interferon signaling pathway (GO:0060337),0.7972856128040823,1.7598667145234845,0.0,0.000563987551365556,0.008,33/35,16.84%,MX2;RSAD2;IFITM3;OAS1;RNASEL;OASL;HLA-C;OAS2;IRF4;XAF1;IFITM1;IFIT1;HLA-B;OAS3;IFI27;IRF9;IFIT3;IRF8;ISG20;IFIT2;HLA-F;IRF5;SAMHD1;IFIT5;BST2;IFI6;ADAR;IRF2;GBP2;HLA-E;HLA-G;IFITM2;SP100
prerank,GO_Biological_Process_2021::cellular response to type I interferon (GO:0071357),0.7972856128040823,1.7598667145234845,0.0,0.000563987551365556,0.008,33/35,16.84%,MX2;RSAD2;IFITM3;OAS1;RNASEL;OASL;HLA-C;OAS2;IRF4;XAF1;IFITM1;IFIT1;HLA-B;OAS3;IFI27;IRF9;IFIT3;IRF8;ISG20;IFIT2;HLA-F;IRF5;SAMHD1;IFIT5;BST2;IFI6;ADAR;IRF2;GBP2;HLA-E;HLA-G;IFITM2;SP100
prerank,GO_Biological_Process_2021::fructose 6-phosphate metabolic process (GO:0006002),0.8969970232883909,1.743764278533873,0.0,0.0010026445357609883,0.016,10/10,10.34%,HK3;FBP2;PFKM;HK2;FBP1;HK1;GFPT2;PFKL;PFKP;GFPT1
prerank,GO_Biological_Process_2021::neutrophil chemotaxis (GO:0030593),0.7891334529315349,1.7367697648641147,0.0,0.0010304957728654604,0.017,32/34,17.22%,S100A12;CXCL5;CCL26;CCL7;EDN1;CCL13;CCL8;PF4V1;NCKAP1L;S100A8;SAA1;CCL25;CCL16;XCL2;CXCL3;CXCL6;CCL1;XCL1;CCL15;CCL18;PLA2G1B;PPBP;CCL14;CCL24;S100A9;CCL23;PIP5K1C;CKLF;EDN3;EDN2;PPIB;JAML
prerank,GO_Biological_Process_2021::granulocyte chemotaxis (GO:0071621),0.7818279088104426,1.7297676019992667,0.0,0.0012401129784412226,0.021,34/37,17.22%,S100A12;CXCL5;CCL26;CCL7;EDN1;CCL13;CCL8;PF4V1;NCKAP1L;S100A8;SAA1;CCL25;CCL16;XCL2;CXCL3;CXCL6;CCL1;XCL1;CCL15;CCL18;PLA2G1B;PPBP;CCL14;ANXA1;ADGRE2;CCL24;S100A9;CCL23;PIP5K1C;CKLF;EDN3;EDN2;PPIB;JAML
prerank,GO_Biological_Process_2021::cellular biogenic amine biosynthetic process (GO:0042401),0.8471103327495626,1.7177400691400948,0.0,0.001579165143823557,0.028,14/14,15.34%,HDC;DDC;PAOX;SRM;MOXD1;TPH1;SAT1;TPH2;SAT2;ASMT;PNMT;AANAT;PAH;SMOX
prerank,GO_Biological_Process_2021::vacuolar acidification (GO:0007035),0.8133881485325379,1.7166747147751829,0.0,0.0015755842704815533,0.0295,19/21,11.55%,SLC11A1;ATP6V0A4;ATP6V0A2;ATP6V0D2;TCIRG1;PPT1;ATP6V1H;ATP6AP2;CCDC115;GRN;ATP6V0D1;DMXL2;ATP6V0A1;CLN5;ATP6V0E2;CLN6;ATP6V0E1;CLN3;TMEM199
prerank,GO_Biological_Process_2021::intracellular pH reduction (GO:0051452),0.7793910300244468,1.7163842311845425,0.0,0.0015039668036414826,0.0295,29/35,13.17%,ATP6V1G3;SLC11A1;ATP6V1C2;ATP6V1B1;ATP6V0A4;ATP6V0A2;ATP6V1E2;ATP6V0D2;TCIRG1;ATP6V1D;ATP6V1B2;ATP6V1A;ATP6V1E1;RAB20;ATP6V1C1;ATP6V1G2;ATP6V1H;RAB7A;ATP6V1F;ATP6V0D1;DMXL2;ATP6V0A1;ATP6V0E2;ATP6V0E1;ATP6V0B;RAB38;SLAMF8;ATP6V0C;ATP6V1G1
prerank,GO_Biological_Process_2021::lymphocyte migration (GO:0072676),0.8046205121564389,1.7051550774772413,0.0,0.0019616958308367165,0.0415,18/21,10.70%,CCL26;CCL7;CCL13;CCL8;SAA1;CCL25;CCL16;XCL2;CCL1;XCL1;CCL15;CCL18;CCL14;MYO1G;CCL24;CCL23;MSN;CKLF
prerank,GO_Biological_Process_2021::negative regulation of smooth muscle cell proliferation (GO:0048662),0.7975261464592104,1.689435303466831,0.0,0.0028617146124844876,0.062,18/21,11.31%,ADIPOQ;AIF1;EFEMP2;IGFBP5;IGFBP3;OGN;CNN1;ANG;HMOX1;TPM1;TNFAIP3;PDCD4;PTGIR;APOD;TRIB1;VIP;MEF2C;APLN
prerank,GO_Biological_Process_2021::positive regulation of leukocyte activation (GO:0002696),0.8718920952300916,1.6889521705743202,0.0,0.0027873518094155485,0.063,9/10,12.40%,CLEC7A;HAVCR1;CLEC4D;TLR6;LBP;CD226;CRLF2;TNIP2;WNT5A
prerank,GO_Biological_Process_2021::regulation of T cell mediated cytotoxicity (GO:0001914),0.8081841441036894,1.6878235141443791,0.0,0.002757272473342718,0.0645,17/18,15.30%,HLA-DRA;CD1A;CD1E;LILRB1;CD1B;CD1C;CD1D;HLA-B;XCL1;IL12RB1;IL23R;HLA-F;RIPK3;CEACAM1;STX7;HLA-E;HLA-G
prerank,GO_Biological_Process_2021::positive regulation of chemokine production (GO:0032722),0.797266548225823,1.6829061892423405,0.0,0.0029893661158799842,0.072,18/21,13.61%,ADIPOQ;CLEC7A;AIF1;CHIA;TWIST1;C5;OAS1;HMOX1;OAS3;ALOX15B;PYCARD;TIRAP;AZU1;ADCYAP1;LGALS9;WNT5A;F2RL1;AIRE
prerank,MSigDB_Hallmark_2020::Epithelial Mesenchymal Transition,0.7137517696235293,1.6783511067750072,0.0,0.0033123078413532657,0.0835,104/130,16.36%,LUM;FMOD;TPM2;MYL9;BGN;LOX;ACTA2;POSTN;FBN1;TIMP3;MGP;COL12A1;LOXL1;THY1;FBLN5;PLAUR;EFEMP2;FBLN1;COMP;FBLN2;PCOLCE;MFAP5;IGFBP3;SERPINH1;TAGLN;ECM1;FBN2;EMP3;VCAN;FAS;PTX3;COL16A1;ABI3BP;IGFBP4;FSTL1;THBS2;IGFBP2;CAP2;SNAI2;BMP1;P3H1;GPC1;CXCL6;SERPINE2;NNMT;TPM1;SFRP4;NID2;TGM2;DPYSL3;CALD1;WIPF1;TGFBR3;TIMP1;TGFBI;PLOD2;RGS4;DAB2;CAPG;TNFAIP3;FOXC2;FERMT2;PCOLCE2;PLOD1;AREG;GLIPR1;GEM;COLGALT1;SPARC;MYLK;SGCG;CTHRC1;COL8A2;PRRX1;ECM2;MATN3;IL32;MSX1;ADAM12;FUCA1;SLIT2;SAT1;CALU;RHOB;CD59;MXRA5;SLIT3;SGCD;TPM4;TNFRSF11B;WNT5A;QSOX1;MEST;GADD45A;ENO2;ID2;COPA;GADD45B;PRSS2;FZD8;PDLIM4;PPIB;MATN2;CDH11
prerank,GO_Biological_Process_2021::proton transmembrane transport (GO:1902600),0.7769548881375774,1.671044878123123,0.0,0.003906856294516955,0.1005,22/26,18.55%,ATP6V1B1;ATP6V0A4;HVCN1;NOX5;ATP6V1A;ATP12A;ATP6V1H;ATP6V1F;UCP1;ATP6V0D1;ATP6V0E2;ATP1A4;SLC9A1;ATP6V0E1;ATP1A3;ATP6V0C;UCP2;COX15;SLC36A1;SLC46A1;SLC4A11;UCP3
prerank,GO_Biological_Process_2021::regulation of immune response (GO:0050776),0.7151240242021519,1.669244113124837,0.0,0.003977156658518588,0.1065,90/105,19.92%,LILRB2;TREML1;CD300LB;CD300E;KIR3DL1;FCER1A;AMBP;HLA-DRA;PILRA;KIR2DL4;PTPN22;LILRA1;CD300C;CD1A;KLRB1;RSAD2;TREM2;CD300LF;ULBP1;NCR2;TREML4;FCGR2A;CD8B;TREML2;LILRB1;OSCAR;CD1B;CD1C;CD300A;CD1D;NCR3;HLA-C;CSK;IRF4;IFITM1;HLA-B;COLEC12;HERC5;PIANP;IL4I1;CD160;NPDC1;CD96;LAIR1;SPN;FGL1;HCST;CLEC4G;PLA2G1B;SH2D1A;SIGLEC7;KLRF1;HLA-F;SLAMF6;TIRAP;SAMHD1;SPPL2A;RIPK3;CD226;MICB;RNF135;ICAM3;CD81;MADCAM1;ULBP3;ICAM2;IFNL1;GPR108;COL17A1;PLSCR1;DHX58;LRP8;PILRB;SFTPD;CLEC2B;NCR3LG1;CD300LG;SIGLEC9;HLA-E;SH2D1B;HLA-G;CLEC2D;CD200R1;JAML;MICA;APPL1;PVR;CD99;ICAM5;FOXP1
prerank,GO_Biological_Process_2021::dendritic cell differentiation (GO:0097028),0.8150258769598413,1.668970889615652,0.0,0.0038812046545586647,0.1075,14/15,13.40%,PRTN3;DCSTAMP;TREM2;LILRB1;BATF;TGFBR2;IRF8;CAMK4;BATF3;BATF2;DHRS2;UBD;LGALS9;F2RL1
prerank,GO_Biological_Process_2021::glycolytic process (GO:0006096),0.7941523990204982,1.668900796138652,0.0,0.0037755833299749717,0.1075,19/20,17.13%,HK3;HKDC1;GCK;PFKM;HK2;HK1;PGAM2;ENO4;PFKL;ALDOB;PGM1;ALDOC;ENO3;ENO2;PGK1;PFKFB2;ALDOA;GAPDHS;PGAM1
prerank,GO_Biological_Process_2021::cellular glucuronidation (GO:0052695),0.8444207554559798,1.665859575124194,0.0,0.003949811807543288,0.1165,9/11,10.63%,UGT1A1;UGT1A7;UGT2B15;UGT2B4;UGT2B17;UGT2B28;UGT1A6;UGT2B7;UGT2B11
prerank,GO_Biological_Process_2021::response to interferon-gamma (GO:0034341),0.7378110468841534,1.6657757403009628,0.0,0.0038336408720273086,0.1165,44/53,16.84%,MEFV;HLA-DPA1;SLC11A1;AIF1;CCL26;CIITA;IFITM3;CCL7;CCL13;CCL8;CCL25;CCL16;IFITM1;XCL2;CCL1;XCL1;GBP4;CCL15;IRF8;GBP1;CCL18;GCH1;IL12RB1;CXCL16;GBP5;IL23R;SIRPA;CCL14;BST2;CCL24;CCL23;KYNU;UBD;CYP27B1;LGALS9;GBP3;TDGF1;WNT5A;DAPK3;CALCOCO2;GBP2;DAPK1;IFITM2;SP100
