Gene,N,Events,LogRank_P,Adjusted_Cox_P,Adjusted_HR,CI_Lower,CI_Upper,LogRank_FDR,Adjusted_Cox_FDR
CCDC80,418,143,0.45895752699673,0.6870366048134571,1.032625651992432,0.8833082087815245,1.2071842269231479,0.6729669632605153,0.8425172924634623
LUM,418,143,0.7081503224813115,0.8003914278402892,0.9793587717903611,0.8331530581986027,1.1512213685640567,0.8331180264486018,0.8425172924634623
CTSG,418,143,0.07708705674113125,0.022630595589069352,0.8240251909339648,0.6976986673886236,0.9732246126185289,0.25695685580377087,0.1325042244885586
MFAP2,418,143,0.7783296948318843,0.6586968834150184,1.036952346326019,0.8827425022527278,1.218101729334415,0.864810772035427,0.8425172924634623
FMOD,418,143,0.8898731525649196,0.7754408686647168,0.977297377291557,0.8346486757211603,1.1443259798330279,0.9367085816472839,0.8425172924634623
CFP,418,143,0.03796515060356642,0.026500844897711717,0.8331384296189538,0.7090598664851764,0.9789295315058529,0.19533319241927583,0.1325042244885586
PALMD,418,143,0.9683865845247361,0.66796200258621,0.9623293655207085,0.8074688205604608,1.14688986641082,0.9683865845247361,0.8425172924634623
MASP1,418,143,0.05990356664056706,0.06842649848656587,0.8625788483878165,0.735772134048247,1.0112400772672676,0.23961426656226825,0.23512508983503397
CST2,418,143,0.5511033227530773,0.7239560900822357,0.9717750353369202,0.82901315568378,1.1391215119199938,0.7348044303374364,0.8425172924634623
ACTA2,418,143,0.6533467454856898,0.7674201622551399,1.0241783352569602,0.8742101288655656,1.1998731515166676,0.8166834318571122,0.8425172924634623
TREML1,418,143,0.003199889826275837,0.00485928572670297,0.7796732226053834,0.6556748415335587,0.9271216394792092,0.03199889826275837,0.0485928572670297
ISLR,418,143,0.47107687428236067,0.742285469395387,0.9734103826297652,0.8289622192952615,1.1430288992144446,0.6729669632605153,0.8425172924634623
APOA2,418,143,0.15399342897793988,0.8838650309988136,1.0136895742980339,0.8446423386886569,1.216570027303947,0.34220761995097754,0.8838650309988136
FCER1A,418,143,0.0921138954049846,0.07053752695051019,0.8565421542389109,0.7242071831571433,1.0130588028550924,0.263182558299956,0.23512508983503397
POSTN,418,143,0.28517662193170346,0.12116600403056449,1.1350573768289518,0.9670381323300554,1.3322693341880527,0.47745845876254966,0.2428156453854464
AMBP,418,143,0.2864750752575298,0.14877452310128847,0.8802239123242203,0.7402561193246868,1.0466568470034099,0.47745845876254966,0.27049913291143357
C4A,418,143,0.039066638483855165,0.10122225493835382,0.8637911012945029,0.7250407594690772,1.0290939604856693,0.19533319241927583,0.2428156453854464
FCN3,418,143,0.13735587331019705,0.1214078226927232,0.8798427300058578,0.7482648003283633,1.0345578586677469,0.34220761995097754,0.2428156453854464
PLAC9,418,143,0.20599708336532363,0.08961546759351045,0.8728528585626275,0.7460151951826223,1.0212554886558929,0.41199416673064726,0.2428156453854464
LTC4S,418,143,0.001366115474457974,0.0045530392663049955,0.7857270244522702,0.6651520819509088,0.9281590988091994,0.02732230948915948,0.0485928572670297
