Gene,N,Events,LogRank_P,Adjusted_Cox_P,Adjusted_HR,CI_Lower,CI_Upper,Median_Group_Status,LogRank_FDR,Adjusted_Cox_FDR
CCDC80,484,177,0.6791507386980051,0.5661147812889262,1.042338108027046,0.9046771791274656,1.2009463226355162,tested,0.8489384233725064,0.7709322108326747
LUM,484,177,0.9721979233187559,0.5339238599616926,0.9552025097499164,0.8267565629721023,1.1036039815063763,tested,0.9721979233187559,0.7709322108326747
CTSG,484,177,0.003434206222169389,0.020208879857123656,0.8378759785073449,0.7216879197916084,0.9727697195795625,tested,0.022894708147795928,0.08213432435035153
MFAP2,484,177,0.7235129115986939,0.6510478294911881,1.0342051534681282,0.8939476256728613,1.1964686394854254,tested,0.8511916607043458,0.7779380541375123
FMOD,484,177,0.2824120482074197,0.6736298289940394,0.9692935820135016,0.838347145311727,1.1206933230305383,tested,0.5020104685094506,0.7779380541375123
CFP,484,177,0.043176907077562054,0.11183894884632203,0.8887841865026109,0.7685599436860923,1.0278148590316685,tested,0.14146851525836612,0.2485309974362712
PALMD,484,177,0.16502719412535682,0.24987977450911614,0.9101413893419312,0.775275890462038,1.068467830335325,tested,0.33005438825071365,0.41646629084852693
MASP1,484,177,0.05658740610334645,0.13787112824994535,0.8992037983236768,0.7814614063554332,1.0346863765041339,tested,0.14146851525836612,0.2757422564998907
CST2,484,177,0.31814903791302995,0.5781991581245061,1.0418661538720995,0.9016225389978889,1.203924076466308,tested,0.5020104685094506,0.7709322108326747
ACTA2,484,177,0.560008488042056,0.967267188662966,1.0029528032929027,0.8712069943111097,1.1546214989108297,tested,0.7466779840560748,0.967267188662966
TREML1,484,177,0.00017030885933067008,0.0054691986613111055,0.7991560558366746,0.6822375088055349,0.9361115349676138,tested,0.0034061771866134016,0.05469198661311105
ISLR,484,177,0.8468514059588528,0.9274856584006366,0.9933819139776351,0.8610171043591084,1.1460952657292358,tested,0.9293168803274733,0.967267188662966
APOA2,484,177,0.3263068045311429,0.700144248723761,1.0322492461009471,0.8782795338377336,1.2132111304244935,tested,0.5020104685094506,0.7779380541375123
FCER1A,484,177,0.014012761824648945,0.027405890058556627,0.8475307569843423,0.7316691414686816,0.9817393454541351,tested,0.05605104729859578,0.09135296686185543
POSTN,484,177,0.054793633063492275,0.020533581087587884,1.1920911912891172,1.027409507263432,1.3831694161895036,tested,0.14146851525836612,0.08213432435035153
AMBP,484,177,0.8828510363110996,0.07897355287703352,0.8718438157512131,0.7481430609641757,1.0159977131700384,tested,0.9293168803274733,0.1974338821925838
C4A,484,177,0.01328792577178306,0.018036529072307277,0.8298200105192681,0.710950014242327,0.968564928706069,tested,0.05605104729859578,0.08213432435035153
FCN3,484,177,0.11957043297951186,0.045813518854160615,0.8568439734798595,0.7362942799371075,0.997130651281803,tested,0.26571207328780416,0.13089576815474463
PLAC9,484,177,0.4399423818304875,0.23868872130062302,0.9183694625760398,0.7970760089129217,1.0581205059006404,tested,0.6284891169006965,0.41646629084852693
LTC4S,484,177,0.0016581738888302722,0.003906999895197837,0.8052255691264577,0.6950468749999811,0.9328697682081447,tested,0.01658173888830272,0.05469198661311105
