Repeat,Method,STRING_Degree_Stratum,N,Positives,ROC_AUC,AUPRC,Prevalence
0,Network-degree logistic,1,13250,28,0.8375704993841433,0.011573550351797517,0.0021132075471698114
0,Network-degree logistic,2,1922,21,0.5729064903183788,0.022902893442440744,0.010926118626430802
0,Network-degree logistic,3,2630,106,0.6432250396196515,0.11114748890759021,0.0403041825095057
0,Network-degree logistic,4,2400,185,0.6273613568421694,0.13048697695196998,0.07708333333333334
0,Network-degree logistic,5,2555,268,0.6369812502855204,0.1810318134976603,0.10489236790606654
0,Network-degree logistic,6,2485,576,0.7070864981665793,0.4478962117760623,0.2317907444668008
0,RWR (STRING graph),1,13250,28,0.7595754910646758,0.037977793037047715,0.0021132075471698114
0,RWR (STRING graph),2,1922,21,0.8392825831016257,0.057620185000067124,0.010926118626430802
0,RWR (STRING graph),3,2630,106,0.8614956792153813,0.28163814304681295,0.0403041825095057
0,RWR (STRING graph),4,2400,185,0.8648575437740224,0.3601289277010128,0.07708333333333334
0,RWR (STRING graph),5,2555,268,0.8624232358104535,0.38124565474016636,0.10489236790606654
0,RWR (STRING graph),6,2485,576,0.8316927128805075,0.554299011203952,0.2317907444668008
0,ctMV-GCN (local attention + class-weighted CE),1,13250,28,0.7435064935064934,0.010392436636156011,0.0021132075471698114
0,ctMV-GCN (local attention + class-weighted CE),2,1922,21,0.5657423411237194,0.015399230246441548,0.010926118626430802
0,ctMV-GCN (local attention + class-weighted CE),3,2630,106,0.5443926980235027,0.055968015284429545,0.0403041825095057
0,ctMV-GCN (local attention + class-weighted CE),4,2400,185,0.6134073576962967,0.11801430060363294,0.07708333333333334
0,ctMV-GCN (local attention + class-weighted CE),5,2555,268,0.6482519627485658,0.1711275358646612,0.10489236790606654
0,ctMV-GCN (local attention + class-weighted CE),6,2485,576,0.7196603442756533,0.3956147605144485,0.2317907444668008
1,Network-degree logistic,1,13250,28,0.8246213021587399,0.011145967442685572,0.0021132075471698114
1,Network-degree logistic,2,1922,21,0.5615089802359661,0.026091668011713642,0.010926118626430802
1,Network-degree logistic,3,2630,106,0.6484129713243428,0.10199620705267498,0.0403041825095057
1,Network-degree logistic,4,2400,185,0.6351998047709109,0.13651206289987902,0.07708333333333334
1,Network-degree logistic,5,2555,268,0.6375000815772471,0.17979791970394837,0.10489236790606654
1,Network-degree logistic,6,2485,576,0.7067254525347767,0.45201637841623993,0.2317907444668008
1,RWR (STRING graph),1,13250,28,0.7577117142424963,0.028849294720654752,0.0021132075471698114
1,RWR (STRING graph),2,1922,21,0.8488013827308935,0.06525613281085596,0.010926118626430802
1,RWR (STRING graph),3,2630,106,0.8522672906138803,0.25789982955705265,0.0403041825095057
1,RWR (STRING graph),4,2400,185,0.8717076444390214,0.35926508038336435,0.07708333333333334
1,RWR (STRING graph),5,2555,268,0.8609646346318255,0.36203007307535684,0.10489236790606654
1,RWR (STRING graph),6,2485,576,0.8273055992084279,0.5496095908139024,0.2317907444668008
1,ctMV-GCN (local attention + class-weighted CE),1,13250,28,0.7639189013981027,0.010798897731221854,0.0021132075471698114
1,ctMV-GCN (local attention + class-weighted CE),2,1922,21,0.5223065554470079,0.014377141619943504,0.010926118626430802
1,ctMV-GCN (local attention + class-weighted CE),3,2630,106,0.6082027629100261,0.06658991387386895,0.0403041825095057
1,ctMV-GCN (local attention + class-weighted CE),4,2400,185,0.6423427490696114,0.11790102926475762,0.07708333333333334
1,ctMV-GCN (local attention + class-weighted CE),5,2555,268,0.6641578943933589,0.17240781051400184,0.10489236790606654
1,ctMV-GCN (local attention + class-weighted CE),6,2485,576,0.7316848917408766,0.4098251528075013,0.2317907444668008
2,Network-degree logistic,1,13250,28,0.8298101648767207,0.01317620837152933,0.0021132075471698114
2,Network-degree logistic,2,1922,21,0.5839282583101626,0.029542031164208993,0.010926118626430802
2,Network-degree logistic,3,2630,106,0.6531224770505039,0.1041385677796782,0.0403041825095057
2,Network-degree logistic,4,2400,185,0.6349362455005796,0.13850528613657376,0.07708333333333334
2,Network-degree logistic,5,2555,268,0.6382766969698948,0.18362952411564143,0.10489236790606654
2,Network-degree logistic,6,2485,576,0.7089444735463595,0.45375874341032935,0.2317907444668008
2,RWR (STRING graph),1,13250,28,0.7533466949024354,0.028582950390070926,0.0021132075471698114
2,RWR (STRING graph),2,1922,21,0.8287367550913053,0.053287867218349265,0.010926118626430802
2,RWR (STRING graph),3,2630,106,0.8385424453547828,0.25371472577121024,0.0403041825095057
2,RWR (STRING graph),4,2400,185,0.8721591117076445,0.3545558001264157,0.07708333333333334
2,RWR (STRING graph),5,2555,268,0.8569200347192762,0.3574723726877529,0.10489236790606654
2,RWR (STRING graph),6,2485,576,0.8328995329142658,0.5570713587490179,0.2317907444668008
2,ctMV-GCN (local attention + class-weighted CE),1,13250,28,0.7852388875683386,0.02462105200254221,0.0021132075471698114
2,ctMV-GCN (local attention + class-weighted CE),2,1922,21,0.512161519000025,0.01521447033695586,0.010926118626430802
2,ctMV-GCN (local attention + class-weighted CE),3,2630,106,0.5979689322130192,0.05842672834110959,0.0403041825095057
2,ctMV-GCN (local attention + class-weighted CE),4,2400,185,0.6065035690317858,0.10792106229079235,0.07708333333333334
2,ctMV-GCN (local attention + class-weighted CE),5,2555,268,0.6784893851686038,0.18603045287278502,0.10489236790606654
2,ctMV-GCN (local attention + class-weighted CE),6,2485,576,0.7190519323671498,0.38691433029206823,0.2317907444668008
