Raw_Rank,Raw_Gene,Raw_Prediction_Score,STRING_Degree,Is_Top5pct_STRING_Hub,Is_Ribosomal_or_Mitochondrial_Structural,Is_Canonical_Housekeeping_Panel,Robust_Eligibility,Robust_Candidate_Rank,Robust_Gene,Robustness_Score,Degree_Residualized_Score,Robust_STRING_Degree
1,LUM,0.9700983,46,False,False,False,True,1,CCDC80,0.9922167262449081,0.5367887644039095,1
2,RPS18,0.9653174,356,True,True,False,False,2,LUM,0.985046554160778,0.3784334703124983,46
3,RPS14,0.9617791,318,True,True,False,False,3,CTSG,0.9803391803142406,0.33073747628453687,32
4,RPL13,0.9594511,240,True,True,False,False,4,MFAP2,0.9799131266106909,0.3300213085380781,16
5,RPS12,0.9586731,249,True,True,False,False,5,FMOD,0.9794143320309253,0.3214110193865001,17
6,RPL27A,0.95776737,212,True,True,False,False,6,CFP,0.9771074070995096,0.31014426433244446,22
7,RPL30,0.9561244,251,True,True,False,False,7,PALMD,0.9736387064593899,0.7656440614679911,0
8,RPL31,0.9535993,250,True,True,False,False,8,MASP1,0.9685759414747693,0.2618118035719076,18
9,RPL18A,0.9532197,250,True,True,False,False,9,CST2,0.9588411339263447,0.4681344649035889,4
10,RPS3A,0.95283353,297,True,True,False,False,10,ACTA2,0.9547988195194945,0.3277265351336307,37
11,RPS17,0.95237195,267,True,True,False,False,11,TREML1,0.9524295452656081,0.3518014751278665,12
12,RPL39,0.94899046,186,True,True,False,False,12,ISLR,0.9478385568210159,0.7843599292986129,0
13,RPL18,0.9464587,252,True,True,False,False,13,APOA2,0.9450307589990855,0.29336865587032757,53
14,RPL41,0.9460864,68,True,True,False,False,14,FCER1A,0.9449060603541442,0.33211053277075187,13
15,RPL9,0.9459861,287,True,True,False,False,15,POSTN,0.9425887438689833,0.2574729385346338,34
16,RPL26,0.94420373,261,True,True,False,False,16,AMBP,0.9424536536702968,0.2870220475110876,36
17,RPL29,0.94323903,203,True,True,False,False,17,C4A,0.9408429628398038,0.26027026372675655,50
18,RPL21,0.9425334,242,True,True,False,False,18,FCN3,0.9407494388560977,0.2522489523338476,15
19,RPL23A,0.9422461,309,True,True,False,False,19,PLAC9,0.9400033252971984,0.5175831263644975,1
20,DCN,0.941271,78,True,False,False,False,20,LTC4S,0.9392738382242913,0.35659873348303583,12
