Cohort,Endpoint,Gene,N,Events,Minimum_Covariate_PH_P,Minimum_Covariate_PH_FDR,Any_Covariate_Nominal_Violation,Any_Covariate_FDR_Violation,Expression_PH_P,Expression_PH_FDR,Expression_Nominal_Violation,Expression_FDR_Violation
TCGA-LUAD,overall_survival,CCDC80,484,177,0.03222531832303464,0.048845709315594156,True,True,0.6913906281914973,0.8642382852393716,False,False
TCGA-LUAD,new_tumor_event,CCDC80,418,143,0.04523230813033591,0.05671706159551066,True,False,0.4940679925535034,0.9016115581034798,False,False
TCGA-LUAD,overall_survival,LUM,484,177,0.034571189249812145,0.048845709315594156,True,True,0.2135706065114425,0.5498346106580474,False,False
TCGA-LUAD,new_tumor_event,LUM,418,143,0.04940214512064564,0.05671706159551066,True,False,0.9660593662795135,0.9983061626991916,False,False
TCGA-LUAD,overall_survival,CTSG,484,177,0.036122553754402674,0.048845709315594156,True,True,0.06570605878540753,0.2628242351416301,False,False
TCGA-LUAD,new_tumor_event,CTSG,418,143,0.04632866273318342,0.05671706159551066,True,False,0.14354013396364632,0.5741605358545853,False,False
TCGA-LUAD,overall_survival,MFAP2,484,177,0.031640312491579566,0.048845709315594156,True,True,0.9550396943525241,0.9550396943525241,False,False
TCGA-LUAD,new_tumor_event,MFAP2,418,143,0.0442858114734838,0.05671706159551066,True,False,0.6445650553260942,0.9284187782016415,False,False
TCGA-LUAD,overall_survival,FMOD,484,177,0.03320227872032464,0.048845709315594156,True,True,0.42480529115214705,0.7326711475176517,False,False
TCGA-LUAD,new_tumor_event,FMOD,418,143,0.04992397569821995,0.05671706159551066,True,False,0.6415906342748584,0.9284187782016415,False,False
TCGA-LUAD,overall_survival,CFP,484,177,0.03579431177891024,0.048845709315594156,True,True,0.04223072794540165,0.21115363972700824,True,False
TCGA-LUAD,new_tumor_event,CFP,418,143,0.028053821786108185,0.05671706159551066,True,False,0.028053821786108185,0.28053821786108185,True,False
TCGA-LUAD,overall_survival,PALMD,484,177,0.03907656745247533,0.048845709315594156,True,True,0.9130568207498821,0.9550396943525241,False,False
TCGA-LUAD,new_tumor_event,PALMD,418,143,0.048283290186447794,0.05671706159551066,True,False,0.719223952357041,0.9284187782016415,False,False
TCGA-LUAD,overall_survival,MASP1,484,177,0.03733917050426335,0.048845709315594156,True,True,0.3265298301819954,0.6648558424271824,False,False
TCGA-LUAD,new_tumor_event,MASP1,418,143,0.04933657895357049,0.05671706159551066,True,False,0.26999559677567375,0.7714159907876393,False,False
TCGA-LUAD,overall_survival,CST2,484,177,0.03175809212872161,0.048845709315594156,True,True,0.7911871530502962,0.9308084153532896,False,False
TCGA-LUAD,new_tumor_event,CST2,418,143,0.047889616032034926,0.05671706159551066,True,False,0.8195933668404591,0.9642274904005402,False,False
TCGA-LUAD,overall_survival,ACTA2,484,177,0.032871243506067835,0.048845709315594156,True,True,0.5592162426922223,0.745621656922963,False,False
TCGA-LUAD,new_tumor_event,ACTA2,418,143,0.04581960887436133,0.05671706159551066,True,False,0.24606514714624092,0.7714159907876393,False,False
TCGA-LUAD,overall_survival,TREML1,484,177,0.021513022152447728,0.048845709315594156,True,True,0.021513022152447728,0.14342014768298486,True,False
TCGA-LUAD,new_tumor_event,TREML1,418,143,0.05184108595847105,0.05671706159551066,False,False,0.33114925051512767,0.8278731262878192,False,False
TCGA-LUAD,overall_survival,ISLR,484,177,0.033245446470214546,0.048845709315594156,True,True,0.5570488475949507,0.745621656922963,False,False
TCGA-LUAD,new_tumor_event,ISLR,418,143,0.04913263304140363,0.05671706159551066,True,False,0.9983061626991916,0.9983061626991916,False,False
TCGA-LUAD,overall_survival,APOA2,484,177,0.0004842449527791926,0.0088839721348134,True,True,0.0004842449527791926,0.0088839721348134,True,True
TCGA-LUAD,new_tumor_event,APOA2,418,143,0.047873332314454696,0.05671706159551066,True,False,0.49588635695691397,0.9016115581034798,False,False
TCGA-LUAD,overall_survival,FCER1A,484,177,0.0008883972134813401,0.0088839721348134,True,True,0.0008883972134813401,0.0088839721348134,True,True
TCGA-LUAD,new_tumor_event,FCER1A,418,143,0.02294155489815412,0.05671706159551066,True,False,0.02294155489815412,0.28053821786108185,True,False
TCGA-LUAD,overall_survival,POSTN,484,177,0.034771240034570446,0.048845709315594156,True,True,0.219933844263219,0.5498346106580474,False,False
TCGA-LUAD,new_tumor_event,POSTN,418,143,0.03866554886657523,0.05671706159551066,True,False,0.06510700452953098,0.4340466968635399,False,False
TCGA-LUAD,overall_survival,AMBP,484,177,0.04167678532729872,0.049031512149763194,True,True,0.875089219146429,0.9550396943525241,False,False
TCGA-LUAD,new_tumor_event,AMBP,418,143,0.03940347781939864,0.05671706159551066,True,False,0.7427350225613133,0.9284187782016415,False,False
TCGA-LUAD,overall_survival,C4A,484,177,0.05068009793798798,0.05201821943315086,False,False,0.5157007683133076,0.745621656922963,False,False
TCGA-LUAD,new_tumor_event,C4A,418,143,0.053297166422395494,0.05671706159551066,False,False,0.8870716676091266,0.9856351862323629,False,False
TCGA-LUAD,overall_survival,FCN3,484,177,0.05201821943315086,0.05201821943315086,False,False,0.3324279212135912,0.6648558424271824,False,False
TCGA-LUAD,new_tumor_event,FCN3,418,143,0.05069715800522969,0.05671706159551066,False,False,0.42996123835602634,0.9016115581034798,False,False
TCGA-LUAD,overall_survival,PLAC9,484,177,0.03661762273512355,0.048845709315594156,True,True,0.13688880497628328,0.45629601658761093,False,False
TCGA-LUAD,new_tumor_event,PLAC9,418,143,0.04868291338218742,0.05671706159551066,True,False,0.12409666247070274,0.5741605358545853,False,False
